Sample:	
Run Date:	20-02-2020 17:05:50
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	248.0	227.0	208.0	2.5394	37.9273

Data Points
nm	Abs
600.0	-0.0005
599.0	-0.0003
598.0	-0.0002
597.0	0.0000
596.0	0.0003
595.0	0.0005
594.0	0.0007
593.0	0.0012
592.0	0.0016
591.0	0.0021
590.0	0.0029
589.0	0.0036
588.0	0.0045
587.0	0.0056
586.0	0.0067
585.0	0.0080
584.0	0.0099
583.0	0.0118
582.0	0.0140
581.0	0.0166
580.0	0.0194
579.0	0.0225
578.0	0.0260
577.0	0.0300
576.0	0.0342
575.0	0.0387
574.0	0.0439
573.0	0.0499
572.0	0.0566
571.0	0.0635
570.0	0.0709
569.0	0.0788
568.0	0.0869
567.0	0.0949
566.0	0.1031
565.0	0.1117
564.0	0.1200
563.0	0.1281
562.0	0.1357
561.0	0.1428
560.0	0.1492
559.0	0.1549
558.0	0.1596
557.0	0.1637
556.0	0.1667
555.0	0.1691
554.0	0.1704
553.0	0.1705
552.0	0.1697
551.0	0.1677
550.0	0.1651
549.0	0.1618
548.0	0.1578
547.0	0.1533
546.0	0.1485
545.0	0.1432
544.0	0.1376
543.0	0.1318
542.0	0.1261
541.0	0.1204
540.0	0.1149
539.0	0.1094
538.0	0.1042
537.0	0.0994
536.0	0.0947
535.0	0.0903
534.0	0.0861
533.0	0.0823
532.0	0.0788
531.0	0.0758
530.0	0.0731
529.0	0.0706
528.0	0.0685
527.0	0.0668
526.0	0.0653
525.0	0.0641
524.0	0.0630
523.0	0.0620
522.0	0.0611
521.0	0.0604
520.0	0.0598
519.0	0.0592
518.0	0.0585
517.0	0.0577
516.0	0.0569
515.0	0.0558
514.0	0.0547
513.0	0.0536
512.0	0.0523
511.0	0.0508
510.0	0.0490
509.0	0.0471
508.0	0.0452
507.0	0.0434
506.0	0.0415
505.0	0.0396
504.0	0.0375
503.0	0.0355
502.0	0.0336
501.0	0.0317
500.0	0.0298
499.0	0.0281
498.0	0.0267
497.0	0.0252
496.0	0.0237
495.0	0.0223
494.0	0.0210
493.0	0.0197
492.0	0.0186
491.0	0.0176
490.0	0.0167
489.0	0.0159
488.0	0.0150
487.0	0.0143
486.0	0.0137
485.0	0.0129
484.0	0.0124
483.0	0.0118
482.0	0.0113
481.0	0.0109
480.0	0.0104
479.0	0.0099
478.0	0.0093
477.0	0.0090
476.0	0.0087
475.0	0.0082
474.0	0.0078
473.0	0.0073
472.0	0.0067
471.0	0.0064
470.0	0.0061
469.0	0.0058
468.0	0.0053
467.0	0.0049
466.0	0.0046
465.0	0.0043
464.0	0.0039
463.0	0.0036
462.0	0.0032
461.0	0.0029
460.0	0.0027
459.0	0.0021
458.0	0.0016
457.0	0.0018
456.0	0.0020
455.0	0.0020
454.0	0.0018
453.0	0.0016
452.0	0.0015
451.0	0.0015
450.0	0.0015
449.0	0.0013
448.0	0.0012
447.0	0.0012
446.0	0.0012
445.0	0.0012
444.0	0.0012
443.0	0.0012
442.0	0.0012
441.0	0.0012
440.0	0.0013
439.0	0.0015
438.0	0.0016
437.0	0.0018
436.0	0.0019
435.0	0.0019
434.0	0.0020
433.0	0.0020
432.0	0.0021
431.0	0.0024
430.0	0.0026
429.0	0.0027
428.0	0.0029
427.0	0.0030
426.0	0.0032
425.0	0.0035
424.0	0.0035
423.0	0.0035
422.0	0.0035
421.0	0.0036
420.0	0.0036
419.0	0.0036
418.0	0.0036
417.0	0.0037
416.0	0.0037
415.0	0.0036
414.0	0.0037
413.0	0.0037
412.0	0.0038
411.0	0.0041
410.0	0.0041
409.0	0.0041
408.0	0.0041
407.0	0.0041
406.0	0.0041
405.0	0.0044
404.0	0.0044
403.0	0.0044
402.0	0.0041
401.0	0.0039
400.0	0.0039
399.0	0.0041
398.0	0.0041
397.0	0.0041
396.0	0.0041
395.0	0.0038
394.0	0.0038
393.0	0.0041
392.0	0.0039
391.0	0.0037
390.0	0.0035
389.0	0.0035
388.0	0.0035
387.0	0.0034
386.0	0.0034
385.0	0.0032
384.0	0.0030
383.0	0.0029
382.0	0.0029
381.0	-0.0004
380.0	-0.0074
379.0	-0.0114
378.0	-0.0117
377.0	-0.0116
376.0	-0.0113
375.0	-0.0113
374.0	-0.0113
373.0	-0.0109
372.0	-0.0104
371.0	-0.0062
370.0	0.0024
369.0	0.0073
368.0	0.0078
367.0	0.0083
366.0	0.0089
365.0	0.0095
364.0	0.0103
363.0	0.0110
362.0	0.0116
361.0	0.0122
360.0	0.0128
359.0	0.0137
358.0	0.0143
357.0	0.0149
356.0	0.0152
355.0	0.0154
354.0	0.0154
353.0	0.0156
352.0	0.0157
351.0	0.0153
350.0	0.0148
349.0	0.0142
348.0	0.0137
347.0	0.0129
346.0	0.0119
345.0	0.0113
344.0	0.0109
343.0	0.0105
342.0	0.0102
341.0	0.0097
340.0	0.0094
339.0	0.0093
338.0	0.0090
337.0	0.0085
336.0	0.0080
335.0	0.0076
334.0	0.0072
333.0	0.0067
332.0	0.0065
331.0	0.0064
330.0	0.0064
329.0	0.0064
328.0	0.0064
327.0	0.0065
326.0	0.0067
325.0	0.0070
324.0	0.0076
323.0	0.0082
322.0	0.0090
321.0	0.0097
320.0	0.0105
319.0	0.0116
318.0	0.0127
317.0	0.0139
316.0	0.0150
315.0	0.0164
314.0	0.0176
313.0	0.0189
312.0	0.0200
311.0	0.0210
310.0	0.0219
309.0	0.0225
308.0	0.0230
307.0	0.0233
306.0	0.0233
305.0	0.0233
