Sample:	
Run Date:	20-02-2020 13:46:28
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	600.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	0.5 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	250.5	236.5	202.0	1.9172	48.9871

Data Points
nm	Abs
600.0	0.0003
599.0	0.0000
598.0	0.0000
597.0	0.0000
596.0	0.0000
595.0	0.0001
594.0	0.0002
593.0	0.0003
592.0	0.0002
591.0	0.0005
590.0	0.0004
589.0	0.0004
588.0	0.0005
587.0	0.0004
586.0	0.0005
585.0	0.0005
584.0	0.0005
583.0	0.0009
582.0	0.0010
581.0	0.0013
580.0	0.0015
579.0	0.0018
578.0	0.0020
577.0	0.0021
576.0	0.0024
575.0	0.0024
574.0	0.0029
573.0	0.0031
572.0	0.0032
571.0	0.0035
570.0	0.0038
569.0	0.0044
568.0	0.0049
567.0	0.0049
566.0	0.0052
565.0	0.0056
564.0	0.0059
563.0	0.0062
562.0	0.0065
561.0	0.0066
560.0	0.0067
559.0	0.0070
558.0	0.0070
557.0	0.0073
556.0	0.0073
555.0	0.0073
554.0	0.0073
553.0	0.0070
552.0	0.0070
551.0	0.0066
550.0	0.0066
549.0	0.0064
548.0	0.0064
547.0	0.0059
546.0	0.0056
545.0	0.0053
544.0	0.0050
543.0	0.0049
542.0	0.0046
541.0	0.0044
540.0	0.0044
539.0	0.0038
538.0	0.0036
537.0	0.0035
536.0	0.0035
535.0	0.0035
534.0	0.0032
533.0	0.0032
532.0	0.0029
531.0	0.0029
530.0	0.0026
529.0	0.0024
528.0	0.0024
527.0	0.0024
526.0	0.0024
525.0	0.0024
524.0	0.0024
523.0	0.0021
522.0	0.0021
521.0	0.0024
520.0	0.0024
519.0	0.0020
518.0	0.0020
517.0	0.0020
516.0	0.0020
515.0	0.0020
514.0	0.0018
513.0	0.0020
512.0	0.0017
511.0	0.0016
510.0	0.0015
509.0	0.0015
508.0	0.0014
507.0	0.0015
506.0	0.0015
505.0	0.0010
504.0	0.0009
503.0	0.0009
502.0	0.0009
501.0	0.0009
500.0	0.0009
499.0	0.0009
498.0	0.0009
497.0	0.0005
496.0	0.0005
495.0	0.0005
494.0	0.0005
493.0	0.0005
492.0	0.0005
491.0	0.0004
490.0	0.0005
489.0	0.0005
488.0	0.0005
487.0	0.0005
486.0	0.0003
485.0	0.0003
484.0	0.0001
483.0	0.0000
482.0	0.0000
481.0	0.0000
480.0	0.0000
479.0	0.0000
478.0	0.0001
477.0	0.0001
476.0	0.0000
475.0	0.0000
474.0	-0.0002
473.0	0.0000
472.0	0.0003
471.0	0.0000
470.0	0.0000
469.0	0.0000
468.0	0.0000
467.0	0.0000
466.0	0.0000
465.0	0.0000
464.0	0.0000
463.0	0.0000
462.0	0.0000
461.0	0.0000
460.0	0.0000
459.0	0.0000
458.0	0.0001
457.0	0.0002
456.0	0.0003
455.0	0.0003
454.0	0.0003
453.0	0.0003
452.0	0.0003
451.0	0.0003
450.0	0.0003
449.0	0.0003
448.0	0.0003
447.0	0.0004
446.0	0.0004
445.0	0.0005
444.0	0.0003
443.0	0.0005
442.0	0.0005
441.0	0.0005
440.0	0.0005
439.0	0.0005
438.0	0.0005
437.0	0.0005
436.0	0.0005
435.0	0.0005
434.0	0.0005
433.0	0.0005
432.0	0.0009
431.0	0.0009
430.0	0.0009
429.0	0.0010
428.0	0.0010
427.0	0.0012
426.0	0.0014
425.0	0.0012
424.0	0.0013
423.0	0.0014
422.0	0.0014
421.0	0.0015
420.0	0.0012
419.0	0.0012
418.0	0.0015
417.0	0.0015
416.0	0.0014
415.0	0.0017
414.0	0.0015
413.0	0.0015
412.0	0.0015
411.0	0.0017
410.0	0.0018
409.0	0.0020
408.0	0.0017
407.0	0.0017
406.0	0.0020
405.0	0.0020
404.0	0.0020
403.0	0.0020
402.0	0.0020
401.0	0.0020
400.0	0.0020
399.0	0.0020
398.0	0.0020
397.0	0.0020
396.0	0.0020
395.0	0.0020
394.0	0.0022
393.0	0.0020
392.0	0.0022
391.0	0.0020
390.0	0.0022
389.0	0.0022
388.0	0.0021
387.0	0.0022
386.0	0.0024
385.0	0.0024
384.0	0.0024
383.0	0.0024
382.0	0.0026
381.0	0.0026
380.0	0.0014
379.0	0.0007
378.0	0.0009
377.0	0.0004
376.0	0.0004
375.0	0.0004
374.0	0.0009
373.0	0.0007
372.0	0.0003
371.0	0.0005
370.0	0.0055
369.0	0.0067
368.0	0.0067
367.0	0.0066
366.0	0.0070
365.0	0.0070
364.0	0.0073
363.0	0.0078
362.0	0.0078
361.0	0.0078
360.0	0.0077
359.0	0.0079
358.0	0.0083
357.0	0.0086
356.0	0.0083
355.0	0.0088
354.0	0.0087
353.0	0.0090
352.0	0.0090
351.0	0.0090
350.0	0.0091
349.0	0.0093
348.0	0.0093
347.0	0.0093
346.0	0.0097
345.0	0.0099
344.0	0.0103
343.0	0.0107
342.0	0.0110
341.0	0.0112
340.0	0.0118
339.0	0.0125
338.0	0.0137
337.0	0.0143
336.0	0.0154
335.0	0.0171
334.0	0.0184
333.0	0.0202
332.0	0.0223
331.0	0.0243
330.0	0.0268
329.0	0.0291
328.0	0.0318
327.0	0.0340
326.0	0.0359
325.0	0.0376
324.0	0.0390
323.0	0.0401
322.0	0.0412
321.0	0.0421
320.0	0.0426
319.0	0.0432
318.0	0.0434
317.0	0.0437
316.0	0.0439
315.0	0.0442
314.0	0.0442
313.0	0.0443
312.0	0.0440
311.0	0.0437
310.0	0.0437
309.0	0.0434
308.0	0.0434
307.0	0.0436
306.0	0.0437
305.0	0.0440
304.0	0.0440
303.0	0.0446
302.0	0.0452
301.0	0.0460
300.0	0.0469
299.0	0.0483
298.0	0.0497
297.0	0.0514
296.0	0.0529
295.0	0.0551
294.0	0.0574
293.0	0.0598
292.0	0.0630
291.0	0.0668
290.0	0.0714
289.0	0.0776
288.0	0.0843
287.0	0.0920
286.0	0.0998
285.0	0.1070
284.0	0.1133
283.0	0.1190
282.0	0.1242
281.0	0.1298
280.0	0.1361
279.0	0.1419
278.0	0.1473
277.0	0.1521
276.0	0.1561
275.0	0.1588
274.0	0.1620
273.0	0.1646
272.0	0.1670
271.0	0.1694
270.0	0.1724
269.0	0.1755
268.0	0.1792
267.0	0.1838
266.0	0.1886
265.0	0.1939
264.0	0.1998
263.0	0.2060
262.0	0.2125
261.0	0.2195
260.0	0.2275
259.0	0.2363
258.0	0.2461
257.0	0.2571
256.0	0.2694
255.0	0.2840
254.0	0.3006
253.0	0.3201
252.0	0.3427
251.0	0.3698
250.0	0.4025
249.0	0.4436
248.0	0.4951
247.0	0.5608
246.0	0.6463
245.0	0.7575
244.0	0.9038
243.0	1.0953
242.0	1.3401
241.0	1.6536
240.0	2.0088
239.0	2.3768
238.0	2.6576
237.0	2.7696
236.0	2.7696
235.0	2.7696
234.0	2.7696
233.0	2.7696
232.0	2.7696
231.0	2.7696
230.0	2.7696
229.0	2.7696
228.0	2.6990
227.0	2.6990
226.0	2.6990
225.0	2.6990
224.0	2.6576
223.0	2.6990
222.0	2.6576
221.0	2.6576
220.0	2.6576
219.0	2.6576
218.0	2.6198
217.0	2.5686
216.0	2.5686
215.0	2.5376
214.0	2.5376
213.0	2.4949
212.0	2.4949
211.0	2.4685
210.0	2.4318
209.0	2.3768
208.0	2.3565
207.0	2.3098
206.0	2.2924
205.0	2.2291
204.0	2.2291
203.0	2.2007
202.0	2.1675
201.0	2.1367
200.0	2.0706
