Sample:	
Run Date:	20-02-2020 19:38:01
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	270.0	233.0	217.0	2.2490	27.0125

Data Points
nm	Abs
600.0	-0.0009
599.0	-0.0007
598.0	-0.0007
597.0	-0.0007
596.0	-0.0007
595.0	-0.0007
594.0	-0.0007
593.0	-0.0007
592.0	-0.0007
591.0	-0.0007
590.0	-0.0007
589.0	-0.0007
588.0	-0.0007
587.0	-0.0005
586.0	-0.0003
585.0	0.0000
584.0	0.0003
583.0	0.0007
582.0	0.0012
581.0	0.0017
580.0	0.0022
579.0	0.0029
578.0	0.0036
577.0	0.0047
576.0	0.0058
575.0	0.0070
574.0	0.0083
573.0	0.0100
572.0	0.0120
571.0	0.0144
570.0	0.0171
569.0	0.0201
568.0	0.0235
567.0	0.0272
566.0	0.0313
565.0	0.0358
564.0	0.0408
563.0	0.0463
562.0	0.0522
561.0	0.0587
560.0	0.0655
559.0	0.0724
558.0	0.0796
557.0	0.0869
556.0	0.0944
555.0	0.1017
554.0	0.1090
553.0	0.1161
552.0	0.1233
551.0	0.1301
550.0	0.1363
549.0	0.1418
548.0	0.1467
547.0	0.1507
546.0	0.1536
545.0	0.1558
544.0	0.1571
543.0	0.1574
542.0	0.1569
541.0	0.1555
540.0	0.1533
539.0	0.1506
538.0	0.1472
537.0	0.1432
536.0	0.1386
535.0	0.1338
534.0	0.1286
533.0	0.1231
532.0	0.1172
531.0	0.1114
530.0	0.1057
529.0	0.1001
528.0	0.0949
527.0	0.0899
526.0	0.0851
525.0	0.0806
524.0	0.0765
523.0	0.0728
522.0	0.0694
521.0	0.0663
520.0	0.0635
519.0	0.0610
518.0	0.0590
517.0	0.0571
516.0	0.0556
515.0	0.0541
514.0	0.0527
513.0	0.0514
512.0	0.0503
511.0	0.0492
510.0	0.0482
509.0	0.0470
508.0	0.0459
507.0	0.0448
506.0	0.0437
505.0	0.0425
504.0	0.0411
503.0	0.0397
502.0	0.0382
501.0	0.0367
500.0	0.0350
499.0	0.0332
498.0	0.0314
497.0	0.0297
496.0	0.0280
495.0	0.0262
494.0	0.0243
493.0	0.0226
492.0	0.0210
491.0	0.0194
490.0	0.0181
489.0	0.0167
488.0	0.0153
487.0	0.0140
486.0	0.0129
485.0	0.0118
484.0	0.0109
483.0	0.0100
482.0	0.0093
481.0	0.0086
480.0	0.0079
479.0	0.0073
478.0	0.0066
477.0	0.0061
476.0	0.0056
475.0	0.0050
474.0	0.0046
473.0	0.0041
472.0	0.0038
471.0	0.0034
470.0	0.0030
469.0	0.0026
468.0	0.0022
467.0	0.0019
466.0	0.0016
465.0	0.0012
464.0	0.0007
463.0	0.0003
462.0	-0.0001
461.0	-0.0003
460.0	-0.0007
459.0	-0.0009
458.0	-0.0012
457.0	-0.0015
456.0	-0.0018
455.0	-0.0020
454.0	-0.0021
453.0	-0.0021
452.0	-0.0023
451.0	-0.0024
450.0	-0.0026
449.0	-0.0027
448.0	-0.0029
447.0	-0.0031
446.0	-0.0031
445.0	-0.0032
444.0	-0.0033
443.0	-0.0033
442.0	-0.0033
441.0	-0.0034
440.0	-0.0034
439.0	-0.0034
438.0	-0.0033
437.0	-0.0033
436.0	-0.0034
435.0	-0.0033
434.0	-0.0033
433.0	-0.0032
432.0	-0.0029
431.0	-0.0029
430.0	-0.0029
429.0	-0.0027
428.0	-0.0026
427.0	-0.0024
426.0	-0.0021
425.0	-0.0021
424.0	-0.0021
423.0	-0.0020
422.0	-0.0018
421.0	-0.0015
420.0	-0.0014
419.0	-0.0012
418.0	-0.0012
417.0	-0.0010
416.0	-0.0010
415.0	-0.0010
414.0	-0.0010
413.0	-0.0010
412.0	-0.0010
411.0	-0.0010
410.0	-0.0010
409.0	-0.0010
408.0	-0.0010
407.0	-0.0010
406.0	-0.0009
405.0	-0.0007
404.0	-0.0007
403.0	-0.0007
402.0	-0.0007
401.0	-0.0007
400.0	-0.0007
399.0	-0.0007
398.0	-0.0007
397.0	-0.0007
396.0	-0.0007
395.0	-0.0007
394.0	-0.0007
393.0	-0.0007
392.0	-0.0007
391.0	-0.0007
390.0	-0.0007
389.0	-0.0007
388.0	-0.0009
387.0	-0.0010
386.0	-0.0010
385.0	-0.0010
384.0	-0.0010
383.0	-0.0010
382.0	-0.0012
381.0	-0.0014
380.0	-0.0017
379.0	-0.0021
378.0	-0.0021
377.0	-0.0020
376.0	-0.0019
375.0	-0.0018
374.0	-0.0016
373.0	-0.0015
372.0	-0.0013
371.0	-0.0007
370.0	0.0007
369.0	0.0019
368.0	0.0024
367.0	0.0029
366.0	0.0034
365.0	0.0043
364.0	0.0051
363.0	0.0060
362.0	0.0067
361.0	0.0075
360.0	0.0083
359.0	0.0090
358.0	0.0093
357.0	0.0095
356.0	0.0097
355.0	0.0097
354.0	0.0097
353.0	0.0095
352.0	0.0090
351.0	0.0083
350.0	0.0077
349.0	0.0070
348.0	0.0064
347.0	0.0056
346.0	0.0050
345.0	0.0045
344.0	0.0039
343.0	0.0036
342.0	0.0034
