Sample:	
Run Date:	04-10-2018 19:11:33
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	1100.0 nm
Ending Wavelength:	190.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	570.0	532.0	457.0	0.2069	7.7540
2	222.0	209.0	209.0	0.0000	-0.4694
3	208.0	199.0	191.0	1.2524	11.2541

Data Points
nm	Abs
600.0	-0.0002
599.0	0.0000
598.0	0.0000
597.0	0.0000
596.0	-0.0001
595.0	0.0000
594.0	0.0000
593.0	0.0000
592.0	0.0000
591.0	0.0000
590.0	0.0000
589.0	0.0000
588.0	0.0000
587.0	0.0000
586.0	0.0000
585.0	0.0001
584.0	0.0003
583.0	0.0003
582.0	0.0004
581.0	0.0005
580.0	0.0007
579.0	0.0009
578.0	0.0009
577.0	0.0009
576.0	0.0010
575.0	0.0012
574.0	0.0013
573.0	0.0015
572.0	0.0018
571.0	0.0020
570.0	0.0024
569.0	0.0027
568.0	0.0034
567.0	0.0039
566.0	0.0046
565.0	0.0055
564.0	0.0064
563.0	0.0076
562.0	0.0089
561.0	0.0105
560.0	0.0125
559.0	0.0147
558.0	0.0173
557.0	0.0205
556.0	0.0240
555.0	0.0278
554.0	0.0325
553.0	0.0380
552.0	0.0440
551.0	0.0511
550.0	0.0590
549.0	0.0677
548.0	0.0771
547.0	0.0870
546.0	0.0977
545.0	0.1087
544.0	0.1202
543.0	0.1319
542.0	0.1439
541.0	0.1554
540.0	0.1663
539.0	0.1765
538.0	0.1857
537.0	0.1938
536.0	0.2004
535.0	0.2057
534.0	0.2092
533.0	0.2113
532.0	0.2118
531.0	0.2106
530.0	0.2077
529.0	0.2034
528.0	0.1979
527.0	0.1917
526.0	0.1850
525.0	0.1776
524.0	0.1697
523.0	0.1617
522.0	0.1536
521.0	0.1456
520.0	0.1379
519.0	0.1304
518.0	0.1233
517.0	0.1168
516.0	0.1105
515.0	0.1045
514.0	0.0991
513.0	0.0944
512.0	0.0898
511.0	0.0858
510.0	0.0823
509.0	0.0795
508.0	0.0770
507.0	0.0748
506.0	0.0730
505.0	0.0717
504.0	0.0705
503.0	0.0697
502.0	0.0691
501.0	0.0684
500.0	0.0678
499.0	0.0669
498.0	0.0661
497.0	0.0652
496.0	0.0641
495.0	0.0629
494.0	0.0614
493.0	0.0596
492.0	0.0575
491.0	0.0552
490.0	0.0528
489.0	0.0506
488.0	0.0480
487.0	0.0456
486.0	0.0430
485.0	0.0405
484.0	0.0382
483.0	0.0359
482.0	0.0336
481.0	0.0317
480.0	0.0297
479.0	0.0279
478.0	0.0263
477.0	0.0249
476.0	0.0235
475.0	0.0223
474.0	0.0210
473.0	0.0197
472.0	0.0189
471.0	0.0180
470.0	0.0171
469.0	0.0164
468.0	0.0157
467.0	0.0150
466.0	0.0143
465.0	0.0139
464.0	0.0134
463.0	0.0128
462.0	0.0122
461.0	0.0117
460.0	0.0112
459.0	0.0107
458.0	0.0102
457.0	0.0097
456.0	0.0093
455.0	0.0088
454.0	0.0082
453.0	0.0079
452.0	0.0075
451.0	0.0070
450.0	0.0066
449.0	0.0063
448.0	0.0059
447.0	0.0056
446.0	0.0052
445.0	0.0050
444.0	0.0049
443.0	0.0047
442.0	0.0044
441.0	0.0041
440.0	0.0041
439.0	0.0038
438.0	0.0036
437.0	0.0035
436.0	0.0035
435.0	0.0035
434.0	0.0032
433.0	0.0031
432.0	0.0031
431.0	0.0030
430.0	0.0029
429.0	0.0029
428.0	0.0027
427.0	0.0026
426.0	0.0026
425.0	0.0026
424.0	0.0026
423.0	0.0026
422.0	0.0024
421.0	0.0024
420.0	0.0026
419.0	0.0026
418.0	0.0027
417.0	0.0029
416.0	0.0029
415.0	0.0030
414.0	0.0031
413.0	0.0030
412.0	0.0030
411.0	0.0032
410.0	0.0033
409.0	0.0034
408.0	0.0034
407.0	0.0035
406.0	0.0036
405.0	0.0036
404.0	0.0037
403.0	0.0037
402.0	0.0037
401.0	0.0038
400.0	0.0041
399.0	0.0041
398.0	0.0044
397.0	0.0044
396.0	0.0044
395.0	0.0045
394.0	0.0046
393.0	0.0046
392.0	0.0047
391.0	0.0049
390.0	0.0049
389.0	0.0049
388.0	0.0049
387.0	0.0049
386.0	0.0049
385.0	0.0049
384.0	0.0049
383.0	0.0050
382.0	0.0051
381.0	0.0092
380.0	0.0172
379.0	0.0200
378.0	0.0179
377.0	0.0162
376.0	0.0147
375.0	0.0130
374.0	0.0116
373.0	0.0104
372.0	0.0091
371.0	0.0078
370.0	0.0068
369.0	0.0065
368.0	0.0067
367.0	0.0070
366.0	0.0072
365.0	0.0074
364.0	0.0079
363.0	0.0082
362.0	0.0085
361.0	0.0089
360.0	0.0094
359.0	0.0097
358.0	0.0101
357.0	0.0105
356.0	0.0110
355.0	0.0114
354.0	0.0119
353.0	0.0122
352.0	0.0122
351.0	0.0122
350.0	0.0126
349.0	0.0126
348.0	0.0124
347.0	0.0122
346.0	0.0122
345.0	0.0122
344.0	0.0120
343.0	0.0119
342.0	0.0120
341.0	0.0122
340.0	0.0127
339.0	0.0132
338.0	0.0138
337.0	0.0143
336.0	0.0150
335.0	0.0157
334.0	0.0166
333.0	0.0176
332.0	0.0187
331.0	0.0197
330.0	0.0206
329.0	0.0219
328.0	0.0231
327.0	0.0241
326.0	0.0252
325.0	0.0261
324.0	0.0268
323.0	0.0276
322.0	0.0280
321.0	0.0281
320.0	0.0281
319.0	0.0281
318.0	0.0279
317.0	0.0275
316.0	0.0270
315.0	0.0267
314.0	0.0263
313.0	0.0259
312.0	0.0255
311.0	0.0252
310.0	0.0247
309.0	0.0241
308.0	0.0237
307.0	0.0231
306.0	0.0226
305.0	0.0222
304.0	0.0215
303.0	0.0211
302.0	0.0206
301.0	0.0201
300.0	0.0196
299.0	0.0194
298.0	0.0192
297.0	0.0189
296.0	0.0186
295.0	0.0185
294.0	0.0185
293.0	0.0183
292.0	0.0182
291.0	0.0181
290.0	0.0183
289.0	0.0187
288.0	0.0192
287.0	0.0194
286.0	0.0197
285.0	0.0203
284.0	0.0210
283.0	0.0217
282.0	0.0225
281.0	0.0237
280.0	0.0247
279.0	0.0255
278.0	0.0265
277.0	0.0273
276.0	0.0281
275.0	0.0290
274.0	0.0297
273.0	0.0308
272.0	0.0321
271.0	0.0339
270.0	0.0357
269.0	0.0380
268.0	0.0405
267.0	0.0429
266.0	0.0451
265.0	0.0469
264.0	0.0482
263.0	0.0489
262.0	0.0493
261.0	0.0496
260.0	0.0497
259.0	0.0499
258.0	0.0504
257.0	0.0511
256.0	0.0520
255.0	0.0529
254.0	0.0538
253.0	0.0546
252.0	0.0557
251.0	0.0572
250.0	0.0591
249.0	0.0614
248.0	0.0644
247.0	0.0682
246.0	0.0719
245.0	0.0756
244.0	0.0786
243.0	0.0805
242.0	0.0810
241.0	0.0805
240.0	0.0795
239.0	0.0778
238.0	0.0760
237.0	0.0744
236.0	0.0730
235.0	0.0717
234.0	0.0703
233.0	0.0692
232.0	0.0680
231.0	0.0668
230.0	0.0656
229.0	0.0647
228.0	0.0640
227.0	0.0633
226.0	0.0629
225.0	0.0626
224.0	0.0626
223.0	0.0631
222.0	0.0640
221.0	0.0651
220.0	0.0668
219.0	0.0692
218.0	0.0722
217.0	0.0759
216.0	0.0809
215.0	0.0872
214.0	0.0956
213.0	0.1065
212.0	0.1211
211.0	0.1409
210.0	0.1680
209.0	0.2058
208.0	0.2598
207.0	0.3364
206.0	0.4444
205.0	0.5962
204.0	0.8055
203.0	1.0820
202.0	1.4225
201.0	1.7670
200.0	1.9788
199.0	2.0315
198.0	2.0000
197.0	1.9586
196.0	1.9031
195.0	1.8356
194.0	1.7496
193.0	1.6536
192.0	1.5361
191.0	1.3979
190.0	1.2984
