Sample:	
Run Date:	04-10-2018 18:38:52
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	1100.0 nm
Ending Wavelength:	190.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	224.0	209.0	209.0	0.0000	-0.6498
2	209.0	199.0	192.0	1.2364	11.2333

Data Points
nm	Abs
600.0	0.0020
599.0	0.0020
598.0	0.0020
597.0	0.0020
596.0	0.0020
595.0	0.0020
594.0	0.0020
593.0	0.0020
592.0	0.0020
591.0	0.0020
590.0	0.0020
589.0	0.0020
588.0	0.0020
587.0	0.0020
586.0	0.0020
585.0	0.0020
584.0	0.0020
583.0	0.0020
582.0	0.0020
581.0	0.0021
580.0	0.0024
579.0	0.0024
578.0	0.0024
577.0	0.0024
576.0	0.0024
575.0	0.0024
574.0	0.0024
573.0	0.0024
572.0	0.0024
571.0	0.0024
570.0	0.0024
569.0	0.0024
568.0	0.0024
567.0	0.0024
566.0	0.0024
565.0	0.0024
564.0	0.0026
563.0	0.0026
562.0	0.0026
561.0	0.0026
560.0	0.0026
559.0	0.0027
558.0	0.0029
557.0	0.0029
556.0	0.0029
555.0	0.0030
554.0	0.0032
553.0	0.0033
552.0	0.0035
551.0	0.0035
550.0	0.0036
549.0	0.0038
548.0	0.0041
547.0	0.0045
546.0	0.0049
545.0	0.0053
544.0	0.0059
543.0	0.0067
542.0	0.0077
541.0	0.0087
540.0	0.0099
539.0	0.0113
538.0	0.0129
537.0	0.0149
536.0	0.0172
535.0	0.0199
534.0	0.0231
533.0	0.0268
532.0	0.0311
531.0	0.0363
530.0	0.0419
529.0	0.0484
528.0	0.0557
527.0	0.0636
526.0	0.0722
525.0	0.0815
524.0	0.0915
523.0	0.1019
522.0	0.1129
521.0	0.1240
520.0	0.1350
519.0	0.1458
518.0	0.1560
517.0	0.1655
516.0	0.1744
515.0	0.1826
514.0	0.1896
513.0	0.1952
512.0	0.1998
511.0	0.2029
510.0	0.2046
509.0	0.2050
508.0	0.2043
507.0	0.2021
506.0	0.1991
505.0	0.1950
504.0	0.1902
503.0	0.1850
502.0	0.1792
501.0	0.1729
500.0	0.1666
499.0	0.1601
498.0	0.1537
497.0	0.1473
496.0	0.1409
495.0	0.1348
494.0	0.1288
493.0	0.1230
492.0	0.1174
491.0	0.1121
490.0	0.1073
489.0	0.1029
488.0	0.0989
487.0	0.0953
486.0	0.0922
485.0	0.0890
484.0	0.0861
483.0	0.0835
482.0	0.0814
481.0	0.0794
480.0	0.0772
479.0	0.0752
478.0	0.0730
477.0	0.0710
476.0	0.0691
475.0	0.0669
474.0	0.0646
473.0	0.0622
472.0	0.0597
471.0	0.0572
470.0	0.0549
469.0	0.0523
468.0	0.0498
467.0	0.0476
466.0	0.0452
465.0	0.0427
464.0	0.0405
463.0	0.0384
462.0	0.0364
461.0	0.0344
460.0	0.0325
459.0	0.0308
458.0	0.0293
457.0	0.0278
456.0	0.0265
455.0	0.0252
454.0	0.0239
453.0	0.0226
452.0	0.0217
451.0	0.0209
450.0	0.0200
449.0	0.0191
448.0	0.0182
447.0	0.0174
446.0	0.0167
445.0	0.0161
444.0	0.0153
443.0	0.0147
442.0	0.0141
441.0	0.0137
440.0	0.0131
439.0	0.0125
438.0	0.0122
437.0	0.0117
436.0	0.0112
435.0	0.0109
434.0	0.0104
433.0	0.0100
432.0	0.0097
431.0	0.0093
430.0	0.0090
429.0	0.0086
428.0	0.0082
427.0	0.0079
426.0	0.0078
425.0	0.0078
424.0	0.0077
423.0	0.0075
422.0	0.0074
421.0	0.0072
420.0	0.0070
419.0	0.0070
418.0	0.0070
417.0	0.0070
416.0	0.0070
415.0	0.0067
414.0	0.0066
413.0	0.0066
412.0	0.0066
411.0	0.0066
410.0	0.0066
409.0	0.0067
408.0	0.0067
407.0	0.0067
406.0	0.0070
405.0	0.0070
404.0	0.0070
403.0	0.0070
402.0	0.0073
401.0	0.0074
400.0	0.0076
399.0	0.0077
398.0	0.0077
397.0	0.0077
396.0	0.0078
395.0	0.0078
394.0	0.0079
393.0	0.0082
392.0	0.0082
391.0	0.0085
390.0	0.0087
389.0	0.0088
388.0	0.0090
387.0	0.0093
386.0	0.0093
385.0	0.0093
384.0	0.0093
383.0	0.0093
382.0	0.0094
381.0	0.0089
380.0	0.0074
379.0	0.0065
378.0	0.0067
377.0	0.0068
376.0	0.0067
375.0	0.0067
374.0	0.0070
373.0	0.0072
372.0	0.0076
371.0	0.0086
370.0	0.0103
369.0	0.0117
368.0	0.0120
367.0	0.0125
366.0	0.0129
365.0	0.0131
364.0	0.0135
363.0	0.0139
362.0	0.0143
361.0	0.0150
360.0	0.0157
359.0	0.0163
358.0	0.0169
357.0	0.0174
356.0	0.0179
355.0	0.0183
354.0	0.0189
353.0	0.0192
352.0	0.0196
351.0	0.0202
350.0	0.0206
349.0	0.0209
348.0	0.0210
347.0	0.0212
346.0	0.0215
345.0	0.0216
344.0	0.0217
343.0	0.0217
342.0	0.0214
341.0	0.0212
340.0	0.0210
339.0	0.0209
338.0	0.0205
337.0	0.0200
336.0	0.0194
335.0	0.0191
334.0	0.0187
333.0	0.0183
332.0	0.0181
331.0	0.0180
330.0	0.0177
329.0	0.0177
328.0	0.0180
327.0	0.0182
326.0	0.0186
325.0	0.0194
324.0	0.0201
323.0	0.0210
322.0	0.0221
321.0	0.0233
320.0	0.0247
319.0	0.0259
318.0	0.0272
317.0	0.0287
316.0	0.0302
315.0	0.0317
314.0	0.0328
313.0	0.0340
312.0	0.0351
311.0	0.0361
310.0	0.0368
309.0	0.0375
308.0	0.0380
307.0	0.0382
306.0	0.0382
305.0	0.0382
304.0	0.0382
303.0	0.0381
302.0	0.0378
301.0	0.0373
300.0	0.0367
299.0	0.0361
298.0	0.0356
297.0	0.0348
296.0	0.0343
295.0	0.0339
294.0	0.0334
293.0	0.0329
292.0	0.0324
291.0	0.0321
290.0	0.0320
289.0	0.0317
288.0	0.0316
287.0	0.0317
286.0	0.0320
285.0	0.0324
284.0	0.0327
283.0	0.0332
282.0	0.0340
281.0	0.0350
280.0	0.0361
279.0	0.0374
278.0	0.0388
277.0	0.0404
276.0	0.0422
275.0	0.0439
274.0	0.0459
273.0	0.0478
272.0	0.0496
271.0	0.0514
270.0	0.0532
269.0	0.0545
268.0	0.0557
267.0	0.0570
266.0	0.0587
265.0	0.0607
264.0	0.0632
263.0	0.0664
262.0	0.0704
261.0	0.0749
260.0	0.0797
259.0	0.0845
258.0	0.0890
257.0	0.0929
256.0	0.0959
255.0	0.0982
254.0	0.0997
253.0	0.1007
252.0	0.1017
251.0	0.1026
250.0	0.1038
249.0	0.1053
248.0	0.1070
247.0	0.1084
246.0	0.1095
245.0	0.1104
244.0	0.1110
243.0	0.1116
242.0	0.1117
241.0	0.1114
240.0	0.1108
239.0	0.1099
238.0	0.1087
237.0	0.1073
236.0	0.1061
235.0	0.1050
234.0	0.1040
233.0	0.1030
232.0	0.1022
231.0	0.1019
230.0	0.1019
229.0	0.1024
228.0	0.1030
227.0	0.1040
226.0	0.1050
225.0	0.1061
224.0	0.1076
223.0	0.1092
222.0	0.1111
221.0	0.1133
220.0	0.1160
219.0	0.1193
218.0	0.1234
217.0	0.1282
216.0	0.1341
215.0	0.1416
214.0	0.1510
213.0	0.1632
212.0	0.1795
211.0	0.2016
210.0	0.2320
209.0	0.2743
208.0	0.3339
207.0	0.4176
206.0	0.5351
205.0	0.6985
204.0	0.9194
203.0	1.2076
202.0	1.5560
201.0	1.8794
200.0	2.0458
199.0	2.0706
198.0	2.0315
197.0	1.9788
196.0	1.9208
195.0	1.8570
194.0	1.7747
193.0	1.6778
192.0	1.5591
191.0	1.4271
190.0	1.3382
