Sample:	
Run Date:	20-02-2020 17:15:44
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	250.0	227.0	208.0	2.5486	38.0811

Data Points
nm	Abs
600.0	0.0048
599.0	0.0049
598.0	0.0049
597.0	0.0049
596.0	0.0049
595.0	0.0049
594.0	0.0049
593.0	0.0049
592.0	0.0049
591.0	0.0049
590.0	0.0049
589.0	0.0049
588.0	0.0050
587.0	0.0052
586.0	0.0052
585.0	0.0051
584.0	0.0052
583.0	0.0052
582.0	0.0052
581.0	0.0053
580.0	0.0055
579.0	0.0053
578.0	0.0053
577.0	0.0055
576.0	0.0053
575.0	0.0052
574.0	0.0053
573.0	0.0055
572.0	0.0055
571.0	0.0056
570.0	0.0055
569.0	0.0056
568.0	0.0056
567.0	0.0056
566.0	0.0056
565.0	0.0056
564.0	0.0056
563.0	0.0058
562.0	0.0058
561.0	0.0058
560.0	0.0056
559.0	0.0056
558.0	0.0056
557.0	0.0056
556.0	0.0058
555.0	0.0059
554.0	0.0061
553.0	0.0061
552.0	0.0061
551.0	0.0061
550.0	0.0061
549.0	0.0061
548.0	0.0061
547.0	0.0061
546.0	0.0061
545.0	0.0062
544.0	0.0064
543.0	0.0064
542.0	0.0064
541.0	0.0064
540.0	0.0064
539.0	0.0064
538.0	0.0064
537.0	0.0064
536.0	0.0064
535.0	0.0064
534.0	0.0065
533.0	0.0065
532.0	0.0065
531.0	0.0067
530.0	0.0070
529.0	0.0070
528.0	0.0070
527.0	0.0070
526.0	0.0070
525.0	0.0070
524.0	0.0073
523.0	0.0073
522.0	0.0073
521.0	0.0073
520.0	0.0074
519.0	0.0076
518.0	0.0076
517.0	0.0076
516.0	0.0076
515.0	0.0076
514.0	0.0077
513.0	0.0078
512.0	0.0078
511.0	0.0078
510.0	0.0078
509.0	0.0078
508.0	0.0078
507.0	0.0078
506.0	0.0078
505.0	0.0078
504.0	0.0078
503.0	0.0079
502.0	0.0080
501.0	0.0080
500.0	0.0082
499.0	0.0082
498.0	0.0082
497.0	0.0082
496.0	0.0082
495.0	0.0082
494.0	0.0082
493.0	0.0083
492.0	0.0083
491.0	0.0085
490.0	0.0085
489.0	0.0086
488.0	0.0086
487.0	0.0086
486.0	0.0086
485.0	0.0086
484.0	0.0086
483.0	0.0086
482.0	0.0086
481.0	0.0086
480.0	0.0086
479.0	0.0086
478.0	0.0086
477.0	0.0086
476.0	0.0087
475.0	0.0087
474.0	0.0087
473.0	0.0087
472.0	0.0087
471.0	0.0087
470.0	0.0087
469.0	0.0087
468.0	0.0087
467.0	0.0087
466.0	0.0087
465.0	0.0086
464.0	0.0086
463.0	0.0086
462.0	0.0085
461.0	0.0085
460.0	0.0085
459.0	0.0085
458.0	0.0085
457.0	0.0085
456.0	0.0085
455.0	0.0085
454.0	0.0082
453.0	0.0079
452.0	0.0078
451.0	0.0078
450.0	0.0078
449.0	0.0078
448.0	0.0078
447.0	0.0078
446.0	0.0078
445.0	0.0078
444.0	0.0078
443.0	0.0078
442.0	0.0077
441.0	0.0078
440.0	0.0078
439.0	0.0078
438.0	0.0077
437.0	0.0076
436.0	0.0076
435.0	0.0074
434.0	0.0073
433.0	0.0073
432.0	0.0073
431.0	0.0073
430.0	0.0073
429.0	0.0072
428.0	0.0072
427.0	0.0072
426.0	0.0073
425.0	0.0073
424.0	0.0070
423.0	0.0070
422.0	0.0070
421.0	0.0070
420.0	0.0070
419.0	0.0067
418.0	0.0066
417.0	0.0067
416.0	0.0068
415.0	0.0067
414.0	0.0066
413.0	0.0066
412.0	0.0066
411.0	0.0066
410.0	0.0066
409.0	0.0066
408.0	0.0065
407.0	0.0066
406.0	0.0066
405.0	0.0067
404.0	0.0068
403.0	0.0068
402.0	0.0068
401.0	0.0068
400.0	0.0070
399.0	0.0070
398.0	0.0070
397.0	0.0070
396.0	0.0070
395.0	0.0070
394.0	0.0073
393.0	0.0074
392.0	0.0075
391.0	0.0075
390.0	0.0076
389.0	0.0076
388.0	0.0076
387.0	0.0077
386.0	0.0077
385.0	0.0077
384.0	0.0076
383.0	0.0076
