Sample:	
Run Date:	20-02-2020 17:26:57
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	252.0	227.0	209.0	2.6097	38.4410

Data Points
nm	Abs
600.0	0.0104
599.0	0.0105
598.0	0.0105
597.0	0.0103
596.0	0.0102
595.0	0.0102
594.0	0.0100
593.0	0.0099
592.0	0.0097
591.0	0.0097
590.0	0.0097
589.0	0.0097
588.0	0.0097
587.0	0.0100
586.0	0.0101
585.0	0.0102
584.0	0.0104
583.0	0.0109
582.0	0.0110
581.0	0.0116
580.0	0.0120
579.0	0.0124
578.0	0.0128
577.0	0.0134
576.0	0.0138
575.0	0.0141
574.0	0.0148
573.0	0.0154
572.0	0.0160
571.0	0.0164
570.0	0.0169
569.0	0.0174
568.0	0.0179
567.0	0.0182
566.0	0.0185
565.0	0.0191
564.0	0.0194
563.0	0.0197
562.0	0.0200
561.0	0.0201
560.0	0.0203
559.0	0.0205
558.0	0.0206
557.0	0.0209
556.0	0.0209
555.0	0.0209
554.0	0.0209
553.0	0.0209
552.0	0.0209
551.0	0.0209
550.0	0.0209
549.0	0.0209
548.0	0.0206
547.0	0.0205
546.0	0.0204
545.0	0.0203
544.0	0.0201
543.0	0.0200
542.0	0.0199
541.0	0.0199
540.0	0.0197
539.0	0.0196
538.0	0.0195
537.0	0.0194
536.0	0.0194
535.0	0.0194
534.0	0.0194
533.0	0.0192
532.0	0.0191
531.0	0.0192
530.0	0.0194
529.0	0.0194
528.0	0.0192
527.0	0.0191
526.0	0.0191
525.0	0.0191
524.0	0.0191
523.0	0.0191
522.0	0.0191
521.0	0.0191
520.0	0.0192
519.0	0.0193
518.0	0.0192
517.0	0.0191
516.0	0.0191
515.0	0.0191
514.0	0.0192
513.0	0.0194
512.0	0.0194
511.0	0.0192
510.0	0.0191
509.0	0.0191
508.0	0.0191
507.0	0.0191
506.0	0.0190
505.0	0.0189
504.0	0.0187
503.0	0.0184
502.0	0.0182
501.0	0.0181
500.0	0.0180
