Sample:	
Run Date:	20-02-2020 15:59:16
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	251.0	231.0	201.0	2.4613	70.8397

Data Points
nm	Abs
600.0	0.0224
599.0	0.0237
598.0	0.0250
597.0	0.0263
596.0	0.0277
595.0	0.0290
594.0	0.0305
593.0	0.0320
592.0	0.0336
591.0	0.0353
590.0	0.0369
589.0	0.0387
588.0	0.0404
587.0	0.0421
586.0	0.0437
585.0	0.0455
584.0	0.0474
583.0	0.0492
582.0	0.0510
581.0	0.0528
580.0	0.0546
579.0	0.0566
578.0	0.0585
577.0	0.0602
576.0	0.0618
575.0	0.0635
574.0	0.0652
573.0	0.0669
572.0	0.0684
571.0	0.0699
570.0	0.0714
569.0	0.0729
568.0	0.0742
567.0	0.0756
566.0	0.0767
565.0	0.0778
564.0	0.0788
563.0	0.0799
562.0	0.0808
561.0	0.0817
560.0	0.0825
559.0	0.0834
558.0	0.0841
557.0	0.0845
556.0	0.0850
555.0	0.0855
554.0	0.0859
553.0	0.0863
552.0	0.0867
551.0	0.0869
550.0	0.0869
549.0	0.0869
548.0	0.0870
547.0	0.0872
546.0	0.0872
545.0	0.0870
544.0	0.0869
543.0	0.0869
542.0	0.0867
541.0	0.0863
540.0	0.0859
539.0	0.0855
538.0	0.0851
537.0	0.0847
536.0	0.0843
535.0	0.0840
534.0	0.0834
533.0	0.0828
532.0	0.0823
531.0	0.0817
530.0	0.0809
529.0	0.0802
528.0	0.0795
527.0	0.0786
526.0	0.0778
525.0	0.0771
524.0	0.0764
523.0	0.0756
522.0	0.0745
521.0	0.0734
520.0	0.0724
519.0	0.0714
518.0	0.0703
517.0	0.0693
516.0	0.0682
515.0	0.0669
514.0	0.0658
513.0	0.0647
512.0	0.0637
511.0	0.0625
510.0	0.0611
509.0	0.0599
508.0	0.0585
507.0	0.0572
506.0	0.0563
505.0	0.0551
504.0	0.0538
503.0	0.0526
502.0	0.0514
501.0	0.0503
500.0	0.0492
499.0	0.0482
498.0	0.0470
497.0	0.0458
496.0	0.0447
495.0	0.0437
494.0	0.0425
493.0	0.0413
492.0	0.0403
491.0	0.0394
490.0	0.0382
489.0	0.0372
488.0	0.0361
487.0	0.0352
486.0	0.0340
485.0	0.0329
484.0	0.0320
483.0	0.0311
482.0	0.0302
481.0	0.0293
480.0	0.0284
479.0	0.0276
478.0	0.0268
477.0	0.0261
476.0	0.0252
475.0	0.0243
474.0	0.0234
473.0	0.0226
472.0	0.0220
471.0	0.0212
470.0	0.0205
469.0	0.0200
468.0	0.0194
467.0	0.0186
466.0	0.0180
465.0	0.0174
464.0	0.0167
463.0	0.0161
462.0	0.0154
461.0	0.0149
460.0	0.0144
459.0	0.0141
458.0	0.0137
457.0	0.0132
456.0	0.0127
455.0	0.0122
454.0	0.0119
453.0	0.0115
452.0	0.0110
451.0	0.0107
450.0	0.0103
449.0	0.0099
448.0	0.0095
447.0	0.0093
446.0	0.0090
445.0	0.0088
444.0	0.0083
443.0	0.0080
442.0	0.0078
441.0	0.0076
440.0	0.0073
439.0	0.0070
438.0	0.0068
437.0	0.0066
436.0	0.0064
435.0	0.0064
434.0	0.0064
433.0	0.0061
432.0	0.0059
431.0	0.0058
430.0	0.0056
429.0	0.0053
428.0	0.0052
427.0	0.0052
426.0	0.0050
425.0	0.0049
424.0	0.0049
423.0	0.0049
422.0	0.0049
421.0	0.0048
420.0	0.0046
419.0	0.0044
418.0	0.0043
417.0	0.0043
416.0	0.0041
415.0	0.0041
414.0	0.0043
413.0	0.0041
412.0	0.0041
411.0	0.0039
410.0	0.0039
409.0	0.0039
408.0	0.0041
407.0	0.0041
406.0	0.0038
405.0	0.0038
404.0	0.0039
403.0	0.0039
402.0	0.0039
401.0	0.0038
400.0	0.0037
399.0	0.0037
398.0	0.0037
397.0	0.0037
396.0	0.0037
395.0	0.0037
394.0	0.0036
393.0	0.0035
392.0	0.0035
391.0	0.0035
390.0	0.0035
389.0	0.0035
388.0	0.0035
387.0	0.0035
386.0	0.0035
385.0	0.0035
384.0	0.0035
383.0	0.0035
382.0	0.0033
381.0	0.0026
380.0	0.0010
379.0	0.0002
378.0	0.0002
377.0	0.0010
376.0	0.0016
375.0	0.0014
374.0	0.0010
373.0	0.0010
372.0	0.0013
371.0	0.0017
370.0	0.0027
369.0	0.0035
368.0	0.0036
367.0	0.0036
366.0	0.0036
365.0	0.0037
364.0	0.0038
363.0	0.0041
362.0	0.0044
361.0	0.0045
360.0	0.0047
359.0	0.0048
358.0	0.0048
357.0	0.0048
356.0	0.0047
355.0	0.0047
354.0	0.0049
353.0	0.0053
352.0	0.0056
351.0	0.0058
350.0	0.0060
349.0	0.0062
348.0	0.0065
347.0	0.0070
346.0	0.0074
345.0	0.0077
344.0	0.0079
343.0	0.0082
342.0	0.0085
341.0	0.0087
340.0	0.0089
339.0	0.0093
338.0	0.0097
337.0	0.0101
336.0	0.0104
335.0	0.0107
334.0	0.0110
333.0	0.0114
332.0	0.0118
331.0	0.0122
330.0	0.0124
329.0	0.0128
328.0	0.0134
327.0	0.0140
326.0	0.0146
325.0	0.0149
324.0	0.0151
323.0	0.0154
322.0	0.0157
321.0	0.0163
320.0	0.0167
319.0	0.0171
318.0	0.0174
317.0	0.0179
316.0	0.0182
315.0	0.0185
314.0	0.0190
313.0	0.0193
312.0	0.0195
311.0	0.0197
310.0	0.0202
309.0	0.0203
308.0	0.0204
307.0	0.0205
306.0	0.0205
305.0	0.0205
304.0	0.0205
303.0	0.0204
302.0	0.0202
301.0	0.0199
300.0	0.0196
299.0	0.0193
298.0	0.0190
297.0	0.0185
296.0	0.0183
295.0	0.0180
294.0	0.0176
293.0	0.0173
292.0	0.0170
291.0	0.0166
290.0	0.0164
289.0	0.0163
288.0	0.0161
287.0	0.0159
286.0	0.0159
285.0	0.0160
284.0	0.0162
283.0	0.0164
282.0	0.0170
281.0	0.0176
280.0	0.0185
279.0	0.0196
278.0	0.0209
277.0	0.0226
276.0	0.0250
275.0	0.0280
274.0	0.0320
273.0	0.0368
272.0	0.0426
271.0	0.0495
270.0	0.0570
269.0	0.0647
268.0	0.0723
267.0	0.0790
266.0	0.0842
265.0	0.0879
264.0	0.0901
263.0	0.0910
262.0	0.0907
261.0	0.0895
260.0	0.0879
259.0	0.0861
258.0	0.0843
257.0	0.0827
256.0	0.0811
255.0	0.0801
254.0	0.0799
253.0	0.0803
252.0	0.0822
251.0	0.0854
250.0	0.0906
249.0	0.0985
248.0	0.1096
247.0	0.1251
246.0	0.1465
245.0	0.1761
244.0	0.2163
243.0	0.2717
242.0	0.3466
241.0	0.4465
240.0	0.5781
239.0	0.7496
238.0	0.9670
237.0	1.2411
236.0	1.5702
235.0	1.9508
234.0	2.3098
233.0	2.5376
232.0	2.6198
231.0	2.6198
230.0	2.6198
229.0	2.6198
228.0	2.5686
227.0	2.5686
226.0	2.5376
225.0	2.5376
224.0	2.4949
223.0	2.4685
222.0	2.4318
221.0	2.4089
220.0	2.3768
219.0	2.3565
218.0	2.3098
217.0	2.2924
216.0	2.2518
215.0	2.2147
214.0	2.1675
213.0	2.1192
212.0	2.0706
211.0	2.0088
210.0	1.9318
209.0	1.8477
208.0	1.7545
207.0	1.6440
206.0	1.5086
205.0	1.3429
204.0	1.1457
203.0	0.9179
202.0	0.6629
201.0	0.4207
200.0	0.2719
