Sample:	
Run Date:	20-02-2020 16:09:30
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	252.0	231.0	201.0	2.4173	70.4567

Data Points
nm	Abs
600.0	0.0426
599.0	0.0442
598.0	0.0458
597.0	0.0474
596.0	0.0490
595.0	0.0508
594.0	0.0523
593.0	0.0540
592.0	0.0556
591.0	0.0571
590.0	0.0587
589.0	0.0602
588.0	0.0616
587.0	0.0629
586.0	0.0641
585.0	0.0655
584.0	0.0668
583.0	0.0680
582.0	0.0692
581.0	0.0702
580.0	0.0710
579.0	0.0720
578.0	0.0729
577.0	0.0737
576.0	0.0743
575.0	0.0749
574.0	0.0756
573.0	0.0759
572.0	0.0763
571.0	0.0767
570.0	0.0770
569.0	0.0770
568.0	0.0771
567.0	0.0773
566.0	0.0773
565.0	0.0773
564.0	0.0773
563.0	0.0773
562.0	0.0771
561.0	0.0770
560.0	0.0770
559.0	0.0770
558.0	0.0767
557.0	0.0763
556.0	0.0760
555.0	0.0758
554.0	0.0754
553.0	0.0750
552.0	0.0747
551.0	0.0742
550.0	0.0738
549.0	0.0731
548.0	0.0728
547.0	0.0724
546.0	0.0719
545.0	0.0713
544.0	0.0706
543.0	0.0700
542.0	0.0694
541.0	0.0688
540.0	0.0680
539.0	0.0672
538.0	0.0663
537.0	0.0657
536.0	0.0651
535.0	0.0643
534.0	0.0635
533.0	0.0625
532.0	0.0615
531.0	0.0605
530.0	0.0597
529.0	0.0587
528.0	0.0579
527.0	0.0568
526.0	0.0557
525.0	0.0547
524.0	0.0539
523.0	0.0527
522.0	0.0517
521.0	0.0508
520.0	0.0497
519.0	0.0488
518.0	0.0478
517.0	0.0466
516.0	0.0456
515.0	0.0446
514.0	0.0437
513.0	0.0427
512.0	0.0419
511.0	0.0411
510.0	0.0401
509.0	0.0391
508.0	0.0381
507.0	0.0371
506.0	0.0363
505.0	0.0353
504.0	0.0344
503.0	0.0336
502.0	0.0328
501.0	0.0320
500.0	0.0312
499.0	0.0305
498.0	0.0298
497.0	0.0291
496.0	0.0284
495.0	0.0276
494.0	0.0270
493.0	0.0263
492.0	0.0255
491.0	0.0249
490.0	0.0243
489.0	0.0237
488.0	0.0232
487.0	0.0226
486.0	0.0220
485.0	0.0213
484.0	0.0207
483.0	0.0201
482.0	0.0195
481.0	0.0191
480.0	0.0185
479.0	0.0181
478.0	0.0176
477.0	0.0171
476.0	0.0166
475.0	0.0162
474.0	0.0157
473.0	0.0153
472.0	0.0150
471.0	0.0146
470.0	0.0141
469.0	0.0138
468.0	0.0135
467.0	0.0131
466.0	0.0128
465.0	0.0125
464.0	0.0122
463.0	0.0118
462.0	0.0114
461.0	0.0110
460.0	0.0109
459.0	0.0107
458.0	0.0105
457.0	0.0102
456.0	0.0100
455.0	0.0097
454.0	0.0097
453.0	0.0094
452.0	0.0093
451.0	0.0090
450.0	0.0088
449.0	0.0085
448.0	0.0082
447.0	0.0082
446.0	0.0079
445.0	0.0078
444.0	0.0078
443.0	0.0076
442.0	0.0074
441.0	0.0073
440.0	0.0073
439.0	0.0073
438.0	0.0070
437.0	0.0067
436.0	0.0066
435.0	0.0065
434.0	0.0064
433.0	0.0064
432.0	0.0064
431.0	0.0064
430.0	0.0064
429.0	0.0064
428.0	0.0062
427.0	0.0061
426.0	0.0061
425.0	0.0059
424.0	0.0058
423.0	0.0058
422.0	0.0058
421.0	0.0058
420.0	0.0058
419.0	0.0058
418.0	0.0056
417.0	0.0056
416.0	0.0056
415.0	0.0056
414.0	0.0058
413.0	0.0058
412.0	0.0058
411.0	0.0056
410.0	0.0056
409.0	0.0056
408.0	0.0056
407.0	0.0056
406.0	0.0056
405.0	0.0056
404.0	0.0056
403.0	0.0056
402.0	0.0056
401.0	0.0056
400.0	0.0056
399.0	0.0056
398.0	0.0056
397.0	0.0056
396.0	0.0056
395.0	0.0056
394.0	0.0053
393.0	0.0052
392.0	0.0052
391.0	0.0053
390.0	0.0056
389.0	0.0056
388.0	0.0056
387.0	0.0055
386.0	0.0055
385.0	0.0055
384.0	0.0056
383.0	0.0056
382.0	0.0052
381.0	0.0026
380.0	-0.0024
379.0	-0.0048
378.0	-0.0043
377.0	-0.0039
376.0	-0.0041
375.0	-0.0045
374.0	-0.0048
373.0	-0.0045
372.0	-0.0043
371.0	-0.0019
370.0	0.0031
369.0	0.0059
368.0	0.0058
367.0	0.0059
366.0	0.0061
365.0	0.0063
364.0	0.0061
363.0	0.0060
362.0	0.0060
361.0	0.0061
360.0	0.0063
359.0	0.0064
358.0	0.0063
357.0	0.0064
356.0	0.0064
355.0	0.0064
354.0	0.0066
353.0	0.0067
352.0	0.0067
351.0	0.0065
350.0	0.0064
349.0	0.0064
348.0	0.0066
347.0	0.0068
346.0	0.0070
345.0	0.0070
344.0	0.0070
343.0	0.0070
342.0	0.0072
341.0	0.0070
340.0	0.0072
339.0	0.0075
338.0	0.0076
337.0	0.0077
336.0	0.0078
335.0	0.0082
334.0	0.0085
333.0	0.0086
332.0	0.0088
331.0	0.0090
330.0	0.0091
329.0	0.0094
328.0	0.0100
327.0	0.0107
326.0	0.0114
325.0	0.0119
324.0	0.0124
323.0	0.0127
322.0	0.0131
321.0	0.0137
320.0	0.0143
319.0	0.0147
318.0	0.0150
317.0	0.0156
316.0	0.0160
315.0	0.0163
314.0	0.0164
313.0	0.0164
312.0	0.0166
311.0	0.0167
310.0	0.0167
309.0	0.0166
308.0	0.0164
307.0	0.0164
306.0	0.0163
305.0	0.0162
304.0	0.0161
303.0	0.0159
302.0	0.0156
301.0	0.0152
300.0	0.0150
299.0	0.0148
298.0	0.0144
297.0	0.0141
296.0	0.0140
295.0	0.0139
294.0	0.0138
293.0	0.0137
292.0	0.0137
291.0	0.0137
290.0	0.0138
289.0	0.0139
288.0	0.0142
287.0	0.0148
286.0	0.0154
285.0	0.0164
284.0	0.0175
283.0	0.0190
282.0	0.0206
281.0	0.0227
280.0	0.0253
279.0	0.0281
278.0	0.0310
277.0	0.0342
276.0	0.0378
275.0	0.0413
274.0	0.0451
273.0	0.0489
272.0	0.0525
271.0	0.0555
270.0	0.0579
269.0	0.0594
268.0	0.0604
267.0	0.0607
