Sample:	
Run Date:	20-02-2020 16:21:06
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	254.0	231.0	201.0	2.3960	70.6079

Data Points
nm	Abs
600.0	0.0020
599.0	0.0020
598.0	0.0020
597.0	0.0020
596.0	0.0020
595.0	0.0020
594.0	0.0020
593.0	0.0020
592.0	0.0020
591.0	0.0020
590.0	0.0020
589.0	0.0020
588.0	0.0020
587.0	0.0020
586.0	0.0020
585.0	0.0020
584.0	0.0020
583.0	0.0020
582.0	0.0020
581.0	0.0020
580.0	0.0020
579.0	0.0021
578.0	0.0024
577.0	0.0024
576.0	0.0022
575.0	0.0024
574.0	0.0024
573.0	0.0024
572.0	0.0024
571.0	0.0024
570.0	0.0024
569.0	0.0026
568.0	0.0026
567.0	0.0026
566.0	0.0026
565.0	0.0026
564.0	0.0026
563.0	0.0026
562.0	0.0027
561.0	0.0029
560.0	0.0031
559.0	0.0034
558.0	0.0035
557.0	0.0036
556.0	0.0038
555.0	0.0041
554.0	0.0044
553.0	0.0047
552.0	0.0050
551.0	0.0056
550.0	0.0061
549.0	0.0068
548.0	0.0078
547.0	0.0090
546.0	0.0101
545.0	0.0115
544.0	0.0131
543.0	0.0151
542.0	0.0174
541.0	0.0202
540.0	0.0233
539.0	0.0269
538.0	0.0309
537.0	0.0356
536.0	0.0408
535.0	0.0465
534.0	0.0528
533.0	0.0599
532.0	0.0679
531.0	0.0765
530.0	0.0858
529.0	0.0957
528.0	0.1056
527.0	0.1155
526.0	0.1253
525.0	0.1350
524.0	0.1445
523.0	0.1533
522.0	0.1612
521.0	0.1683
520.0	0.1743
519.0	0.1791
518.0	0.1824
517.0	0.1846
516.0	0.1852
515.0	0.1846
514.0	0.1826
513.0	0.1797
512.0	0.1757
511.0	0.1707
510.0	0.1648
509.0	0.1585
508.0	0.1514
507.0	0.1445
506.0	0.1374
505.0	0.1302
504.0	0.1231
503.0	0.1166
502.0	0.1101
501.0	0.1038
500.0	0.0982
499.0	0.0931
498.0	0.0885
497.0	0.0841
496.0	0.0802
495.0	0.0770
494.0	0.0740
493.0	0.0713
492.0	0.0689
491.0	0.0669
490.0	0.0653
489.0	0.0638
488.0	0.0626
487.0	0.0614
486.0	0.0602
485.0	0.0590
484.0	0.0579
483.0	0.0568
482.0	0.0556
481.0	0.0541
480.0	0.0526
479.0	0.0510
478.0	0.0493
477.0	0.0474
476.0	0.0455
475.0	0.0434
474.0	0.0413
473.0	0.0392
472.0	0.0372
471.0	0.0352
470.0	0.0332
469.0	0.0312
468.0	0.0294
467.0	0.0278
466.0	0.0262
465.0	0.0248
464.0	0.0234
463.0	0.0221
462.0	0.0209
461.0	0.0197
460.0	0.0189
459.0	0.0180
458.0	0.0171
457.0	0.0164
456.0	0.0159
455.0	0.0153
454.0	0.0148
453.0	0.0142
452.0	0.0138
451.0	0.0134
450.0	0.0128
449.0	0.0122
448.0	0.0117
447.0	0.0112
446.0	0.0109
445.0	0.0104
444.0	0.0100
443.0	0.0094
442.0	0.0090
441.0	0.0088
440.0	0.0085
439.0	0.0082
438.0	0.0078
437.0	0.0074
436.0	0.0070
435.0	0.0070
434.0	0.0067
433.0	0.0066
432.0	0.0065
431.0	0.0064
430.0	0.0062
429.0	0.0061
428.0	0.0061
427.0	0.0061
426.0	0.0059
425.0	0.0056
424.0	0.0056
423.0	0.0058
422.0	0.0058
421.0	0.0056
420.0	0.0055
419.0	0.0055
418.0	0.0055
417.0	0.0056
416.0	0.0056
415.0	0.0056
414.0	0.0056
413.0	0.0056
412.0	0.0056
411.0	0.0055
410.0	0.0056
409.0	0.0056
408.0	0.0058
407.0	0.0058
406.0	0.0058
405.0	0.0058
404.0	0.0060
403.0	0.0062
402.0	0.0063
401.0	0.0063
400.0	0.0063
399.0	0.0063
398.0	0.0064
397.0	0.0064
396.0	0.0064
395.0	0.0064
394.0	0.0064
393.0	0.0064
392.0	0.0064
391.0	0.0064
390.0	0.0064
389.0	0.0064
388.0	0.0064
387.0	0.0064
386.0	0.0064
385.0	0.0064
384.0	0.0064
383.0	0.0064
382.0	0.0064
381.0	0.0045
380.0	0.0007
379.0	-0.0010
378.0	-0.0005
377.0	0.0001
376.0	0.0003
375.0	0.0001
374.0	0.0000
373.0	0.0002
372.0	0.0007
371.0	0.0024
370.0	0.0058
369.0	0.0077
368.0	0.0079
367.0	0.0082
366.0	0.0085
365.0	0.0090
364.0	0.0092
363.0	0.0094
362.0	0.0099
361.0	0.0103
360.0	0.0109
359.0	0.0113
358.0	0.0116
357.0	0.0120
356.0	0.0122
355.0	0.0125
354.0	0.0131
353.0	0.0139
352.0	0.0144
351.0	0.0146
350.0	0.0148
349.0	0.0148
348.0	0.0150
347.0	0.0154
346.0	0.0157
345.0	0.0159
344.0	0.0159
343.0	0.0159
342.0	0.0157
341.0	0.0154
340.0	0.0152
339.0	0.0152
338.0	0.0151
337.0	0.0150
336.0	0.0149
335.0	0.0149
334.0	0.0149
333.0	0.0148
332.0	0.0147
331.0	0.0148
330.0	0.0150
329.0	0.0152
328.0	0.0157
327.0	0.0164
326.0	0.0171
325.0	0.0179
324.0	0.0186
323.0	0.0194
322.0	0.0202
321.0	0.0214
320.0	0.0226
319.0	0.0239
318.0	0.0252
317.0	0.0267
316.0	0.0279
315.0	0.0291
314.0	0.0302
313.0	0.0312
312.0	0.0324
311.0	0.0334
310.0	0.0340
309.0	0.0347
308.0	0.0352
307.0	0.0355
306.0	0.0355
305.0	0.0355
304.0	0.0353
303.0	0.0350
302.0	0.0342
301.0	0.0332
300.0	0.0324
299.0	0.0317
298.0	0.0308
297.0	0.0300
296.0	0.0293
295.0	0.0286
294.0	0.0281
293.0	0.0277
292.0	0.0272
291.0	0.0269
290.0	0.0265
289.0	0.0262
288.0	0.0260
287.0	0.0259
286.0	0.0258
285.0	0.0258
284.0	0.0260
283.0	0.0263
282.0	0.0270
281.0	0.0278
280.0	0.0287
279.0	0.0297
278.0	0.0309
277.0	0.0320
276.0	0.0332
275.0	0.0347
274.0	0.0364
273.0	0.0381
272.0	0.0397
271.0	0.0411
270.0	0.0426
269.0	0.0444
268.0	0.0465
267.0	0.0492
266.0	0.0523
265.0	0.0558
264.0	0.0601
263.0	0.0649
262.0	0.0704
261.0	0.0760
260.0	0.0814
259.0	0.0860
258.0	0.0899
257.0	0.0932
256.0	0.0959
255.0	0.0985
254.0	0.1012
253.0	0.1048
252.0	0.1095
251.0	0.1155
250.0	0.1231
249.0	0.1329
248.0	0.1455
247.0	0.1621
246.0	0.1847
245.0	0.2150
244.0	0.2558
243.0	0.3116
242.0	0.3861
241.0	0.4847
240.0	0.6131
239.0	0.7791
238.0	0.9901
237.0	1.2541
236.0	1.5751
235.0	1.9393
234.0	2.2924
233.0	2.4949
232.0	2.5686
231.0	2.5686
230.0	2.5686
229.0	2.5686
228.0	2.5686
227.0	2.5686
226.0	2.5376
225.0	2.5376
224.0	2.4949
223.0	2.4685
222.0	2.4318
221.0	2.4089
220.0	2.3768
219.0	2.3565
218.0	2.3372
217.0	2.2924
216.0	2.2518
215.0	2.2147
214.0	2.1805
213.0	2.1192
212.0	2.0706
211.0	2.0088
210.0	1.9393
209.0	1.8633
208.0	1.7747
207.0	1.6576
206.0	1.5258
205.0	1.3595
204.0	1.1593
203.0	0.9266
202.0	0.6714
201.0	0.4288
200.0	0.2791
