Sample:	
Run Date:	20-02-2020 14:00:58
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	234.0	202.0	2.0117	51.4116

Data Points
nm	Abs
600.0	0.0067
599.0	0.0073
598.0	0.0079
597.0	0.0085
596.0	0.0091
595.0	0.0097
594.0	0.0105
593.0	0.0114
592.0	0.0124
591.0	0.0135
590.0	0.0143
589.0	0.0153
588.0	0.0164
587.0	0.0176
586.0	0.0190
585.0	0.0202
584.0	0.0213
583.0	0.0225
582.0	0.0240
581.0	0.0255
580.0	0.0272
579.0	0.0287
578.0	0.0303
577.0	0.0320
576.0	0.0337
575.0	0.0355
574.0	0.0373
573.0	0.0390
572.0	0.0408
571.0	0.0425
570.0	0.0445
569.0	0.0465
568.0	0.0484
567.0	0.0502
566.0	0.0521
565.0	0.0539
564.0	0.0557
563.0	0.0575
562.0	0.0594
561.0	0.0610
560.0	0.0626
559.0	0.0643
558.0	0.0661
557.0	0.0677
556.0	0.0693
555.0	0.0708
554.0	0.0720
553.0	0.0734
552.0	0.0747
551.0	0.0758
550.0	0.0771
549.0	0.0783
548.0	0.0794
547.0	0.0802
546.0	0.0813
545.0	0.0820
544.0	0.0827
543.0	0.0832
542.0	0.0837
541.0	0.0843
540.0	0.0847
539.0	0.0850
538.0	0.0852
537.0	0.0855
536.0	0.0857
535.0	0.0858
534.0	0.0858
533.0	0.0858
532.0	0.0857
531.0	0.0855
530.0	0.0854
529.0	0.0850
528.0	0.0846
527.0	0.0843
526.0	0.0841
525.0	0.0837
524.0	0.0832
523.0	0.0825
522.0	0.0820
521.0	0.0814
520.0	0.0808
519.0	0.0800
518.0	0.0794
517.0	0.0785
516.0	0.0777
515.0	0.0768
514.0	0.0760
513.0	0.0752
512.0	0.0742
511.0	0.0731
510.0	0.0723
509.0	0.0711
508.0	0.0700
507.0	0.0692
506.0	0.0682
505.0	0.0669
504.0	0.0656
503.0	0.0644
502.0	0.0633
501.0	0.0622
500.0	0.0610
499.0	0.0597
498.0	0.0585
497.0	0.0574
496.0	0.0562
495.0	0.0550
494.0	0.0538
493.0	0.0526
492.0	0.0511
491.0	0.0497
490.0	0.0485
489.0	0.0474
488.0	0.0463
487.0	0.0451
486.0	0.0438
485.0	0.0425
484.0	0.0413
483.0	0.0402
482.0	0.0391
481.0	0.0381
480.0	0.0369
479.0	0.0358
478.0	0.0348
477.0	0.0337
476.0	0.0327
475.0	0.0317
474.0	0.0308
473.0	0.0298
472.0	0.0290
471.0	0.0279
470.0	0.0268
469.0	0.0259
468.0	0.0251
467.0	0.0242
466.0	0.0234
465.0	0.0226
464.0	0.0217
463.0	0.0210
462.0	0.0203
461.0	0.0195
460.0	0.0189
459.0	0.0181
458.0	0.0174
457.0	0.0167
456.0	0.0161
455.0	0.0154
454.0	0.0149
453.0	0.0143
452.0	0.0138
451.0	0.0132
450.0	0.0127
449.0	0.0122
448.0	0.0117
447.0	0.0112
446.0	0.0107
445.0	0.0103
444.0	0.0099
443.0	0.0094
442.0	0.0092
441.0	0.0088
440.0	0.0082
439.0	0.0079
438.0	0.0077
437.0	0.0074
436.0	0.0070
435.0	0.0067
434.0	0.0065
433.0	0.0064
432.0	0.0064
431.0	0.0061
430.0	0.0059
429.0	0.0055
428.0	0.0052
427.0	0.0051
426.0	0.0049
425.0	0.0047
424.0	0.0046
423.0	0.0046
422.0	0.0045
421.0	0.0044
420.0	0.0041
419.0	0.0038
418.0	0.0037
417.0	0.0037
416.0	0.0036
415.0	0.0035
414.0	0.0035
413.0	0.0035
412.0	0.0035
411.0	0.0033
410.0	0.0033
409.0	0.0034
408.0	0.0033
407.0	0.0032
406.0	0.0032
405.0	0.0032
404.0	0.0032
403.0	0.0032
402.0	0.0032
401.0	0.0032
400.0	0.0032
399.0	0.0030
398.0	0.0029
397.0	0.0031
396.0	0.0033
395.0	0.0033
394.0	0.0032
393.0	0.0032
392.0	0.0032
391.0	0.0032
390.0	0.0032
389.0	0.0030
388.0	0.0029
387.0	0.0030
386.0	0.0031
385.0	0.0030
384.0	0.0030
383.0	0.0031
382.0	0.0030
381.0	0.0033
380.0	0.0039
379.0	0.0043
378.0	0.0045
377.0	0.0045
376.0	0.0045
375.0	0.0045
374.0	0.0044
373.0	0.0039
372.0	0.0035
371.0	0.0036
370.0	0.0038
369.0	0.0043
368.0	0.0044
367.0	0.0043
366.0	0.0043
365.0	0.0043
364.0	0.0046
363.0	0.0050
362.0	0.0052
361.0	0.0052
360.0	0.0052
359.0	0.0056
358.0	0.0056
357.0	0.0056
356.0	0.0058
355.0	0.0058
354.0	0.0056
353.0	0.0059
352.0	0.0063
351.0	0.0064
350.0	0.0065
349.0	0.0067
348.0	0.0070
347.0	0.0072
346.0	0.0073
345.0	0.0076
344.0	0.0079
343.0	0.0083
342.0	0.0087
341.0	0.0088
340.0	0.0090
339.0	0.0094
338.0	0.0097
337.0	0.0100
336.0	0.0104
335.0	0.0109
334.0	0.0113
333.0	0.0117
332.0	0.0122
331.0	0.0124
330.0	0.0126
329.0	0.0129
328.0	0.0135
327.0	0.0138
326.0	0.0140
325.0	0.0143
324.0	0.0148
323.0	0.0151
322.0	0.0156
321.0	0.0160
320.0	0.0163
319.0	0.0166
318.0	0.0169
317.0	0.0172
316.0	0.0176
315.0	0.0180
314.0	0.0183
313.0	0.0185
312.0	0.0189
311.0	0.0192
310.0	0.0194
309.0	0.0195
308.0	0.0197
307.0	0.0200
306.0	0.0203
305.0	0.0204
304.0	0.0204
303.0	0.0203
302.0	0.0201
301.0	0.0200
300.0	0.0197
299.0	0.0194
298.0	0.0192
297.0	0.0190
296.0	0.0186
295.0	0.0183
294.0	0.0180
293.0	0.0176
292.0	0.0173
291.0	0.0170
290.0	0.0167
289.0	0.0166
288.0	0.0164
287.0	0.0162
286.0	0.0161
285.0	0.0160
284.0	0.0160
283.0	0.0162
282.0	0.0164
281.0	0.0170
280.0	0.0176
279.0	0.0185
278.0	0.0196
277.0	0.0209
276.0	0.0225
275.0	0.0249
274.0	0.0278
273.0	0.0316
272.0	0.0363
271.0	0.0419
270.0	0.0485
269.0	0.0558
268.0	0.0633
267.0	0.0705
266.0	0.0771
265.0	0.0825
264.0	0.0867
263.0	0.0895
262.0	0.0911
261.0	0.0915
260.0	0.0914
259.0	0.0911
258.0	0.0907
257.0	0.0907
256.0	0.0917
255.0	0.0941
254.0	0.0981
253.0	0.1044
252.0	0.1141
251.0	0.1285
250.0	0.1494
249.0	0.1787
248.0	0.2198
247.0	0.2759
246.0	0.3518
245.0	0.4540
244.0	0.5896
243.0	0.7667
242.0	0.9965
241.0	1.2882
240.0	1.6402
239.0	2.0315
238.0	2.4089
237.0	2.6576
236.0	2.6990
235.0	2.6990
234.0	2.7696
233.0	2.7696
232.0	2.7696
231.0	2.6990
230.0	2.6990
229.0	2.6990
228.0	2.6990
227.0	2.6990
226.0	2.6990
225.0	2.6576
224.0	2.6576
223.0	2.6576
222.0	2.6576
221.0	2.6576
220.0	2.6576
219.0	2.6576
218.0	2.6198
217.0	2.6198
216.0	2.5686
215.0	2.5686
214.0	2.5376
213.0	2.5376
212.0	2.4949
211.0	2.4685
210.0	2.4318
209.0	2.4089
208.0	2.3768
207.0	2.3565
206.0	2.3098
205.0	2.2676
204.0	2.2291
203.0	2.2147
202.0	2.1675
201.0	2.1192
200.0	2.0706
