Sample:	
Run Date:	20-02-2020 14:25:14
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	235.0	202.0	2.0034	51.7904

Data Points
nm	Abs
600.0	0.0192
599.0	0.0203
598.0	0.0215
597.0	0.0229
596.0	0.0241
595.0	0.0254
594.0	0.0268
593.0	0.0284
592.0	0.0300
591.0	0.0317
590.0	0.0335
589.0	0.0351
588.0	0.0367
587.0	0.0382
586.0	0.0398
585.0	0.0416
584.0	0.0434
583.0	0.0451
582.0	0.0468
581.0	0.0483
580.0	0.0498
579.0	0.0515
578.0	0.0532
577.0	0.0547
576.0	0.0563
575.0	0.0577
574.0	0.0591
573.0	0.0604
572.0	0.0615
571.0	0.0626
570.0	0.0640
569.0	0.0653
568.0	0.0663
567.0	0.0672
566.0	0.0682
565.0	0.0692
564.0	0.0699
563.0	0.0704
562.0	0.0710
561.0	0.0718
560.0	0.0722
559.0	0.0725
558.0	0.0729
557.0	0.0731
556.0	0.0736
555.0	0.0738
554.0	0.0738
553.0	0.0738
552.0	0.0738
551.0	0.0738
550.0	0.0738
549.0	0.0736
548.0	0.0733
547.0	0.0730
546.0	0.0727
545.0	0.0725
544.0	0.0723
543.0	0.0719
542.0	0.0716
541.0	0.0711
540.0	0.0706
539.0	0.0700
538.0	0.0695
537.0	0.0691
536.0	0.0685
535.0	0.0679
534.0	0.0673
533.0	0.0666
532.0	0.0658
531.0	0.0652
530.0	0.0644
