Sample:	
Run Date:	20-02-2020 19:48:37
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	253.0	233.0	217.0	2.2298	26.1353

Data Points
nm	Abs
600.0	0.0197
599.0	0.0211
598.0	0.0224
597.0	0.0237
596.0	0.0250
595.0	0.0263
594.0	0.0278
593.0	0.0293
592.0	0.0308
591.0	0.0322
590.0	0.0339
589.0	0.0356
588.0	0.0372
587.0	0.0388
586.0	0.0405
585.0	0.0423
584.0	0.0438
583.0	0.0456
582.0	0.0476
581.0	0.0495
580.0	0.0511
579.0	0.0527
578.0	0.0544
577.0	0.0562
576.0	0.0579
575.0	0.0593
574.0	0.0608
573.0	0.0622
572.0	0.0637
571.0	0.0652
570.0	0.0667
569.0	0.0682
568.0	0.0695
567.0	0.0708
566.0	0.0717
565.0	0.0727
564.0	0.0737
563.0	0.0745
562.0	0.0754
561.0	0.0763
560.0	0.0770
559.0	0.0777
558.0	0.0783
557.0	0.0787
556.0	0.0791
555.0	0.0796
554.0	0.0799
553.0	0.0800
552.0	0.0801
551.0	0.0801
550.0	0.0802
549.0	0.0803
548.0	0.0802
547.0	0.0801
546.0	0.0801
545.0	0.0800
544.0	0.0799
543.0	0.0796
542.0	0.0794
541.0	0.0790
540.0	0.0786
539.0	0.0783
538.0	0.0779
537.0	0.0776
536.0	0.0771
535.0	0.0764
534.0	0.0759
533.0	0.0754
532.0	0.0748
531.0	0.0740
530.0	0.0733
529.0	0.0725
528.0	0.0718
527.0	0.0709
526.0	0.0700
525.0	0.0691
524.0	0.0680
523.0	0.0671
522.0	0.0662
521.0	0.0652
520.0	0.0641
519.0	0.0630
518.0	0.0620
517.0	0.0610
516.0	0.0599
515.0	0.0588
514.0	0.0577
513.0	0.0568
512.0	0.0556
511.0	0.0541
510.0	0.0527
509.0	0.0514
508.0	0.0502
507.0	0.0490
506.0	0.0478
505.0	0.0466
504.0	0.0455
503.0	0.0443
502.0	0.0431
501.0	0.0418
500.0	0.0408
499.0	0.0396
498.0	0.0386
497.0	0.0376
496.0	0.0365
495.0	0.0353
494.0	0.0342
493.0	0.0330
492.0	0.0319
491.0	0.0308
490.0	0.0297
489.0	0.0287
488.0	0.0276
487.0	0.0265
486.0	0.0254
485.0	0.0244
484.0	0.0234
483.0	0.0224
482.0	0.0215
481.0	0.0207
480.0	0.0199
479.0	0.0190
478.0	0.0181
477.0	0.0173
476.0	0.0164
475.0	0.0157
474.0	0.0149
473.0	0.0140
472.0	0.0132
471.0	0.0126
470.0	0.0118
469.0	0.0110
468.0	0.0103
467.0	0.0097
466.0	0.0091
465.0	0.0085
464.0	0.0079
463.0	0.0073
462.0	0.0066
461.0	0.0061
460.0	0.0056
459.0	0.0049
458.0	0.0041
457.0	0.0036
456.0	0.0032
455.0	0.0029
454.0	0.0024
453.0	0.0020
452.0	0.0017
451.0	0.0012
450.0	0.0007
449.0	0.0004
448.0	0.0000
447.0	-0.0004
446.0	-0.0007
445.0	-0.0010
444.0	-0.0015
443.0	-0.0018
442.0	-0.0020
441.0	-0.0021
440.0	-0.0024
439.0	-0.0026
438.0	-0.0029
437.0	-0.0033
436.0	-0.0036
435.0	-0.0038
434.0	-0.0039
433.0	-0.0042
432.0	-0.0045
431.0	-0.0048
430.0	-0.0050
429.0	-0.0051
428.0	-0.0051
427.0	-0.0053
426.0	-0.0054
425.0	-0.0057
424.0	-0.0059
423.0	-0.0060
422.0	-0.0062
421.0	-0.0063
420.0	-0.0063
419.0	-0.0064
418.0	-0.0065
417.0	-0.0065
416.0	-0.0065
415.0	-0.0065
414.0	-0.0067
413.0	-0.0069
412.0	-0.0071
411.0	-0.0072
410.0	-0.0072
409.0	-0.0072
408.0	-0.0074
407.0	-0.0074
406.0	-0.0076
405.0	-0.0076
404.0	-0.0076
403.0	-0.0076
402.0	-0.0077
401.0	-0.0078
400.0	-0.0078
399.0	-0.0080
398.0	-0.0081
397.0	-0.0081
396.0	-0.0081
395.0	-0.0081
394.0	-0.0081
393.0	-0.0081
392.0	-0.0082
391.0	-0.0082
390.0	-0.0082
389.0	-0.0083
388.0	-0.0085
387.0	-0.0086
386.0	-0.0086
385.0	-0.0086
384.0	-0.0086
383.0	-0.0088
382.0	-0.0089
381.0	-0.0069
380.0	-0.0026
379.0	-0.0007
378.0	-0.0007
377.0	-0.0007
376.0	-0.0010
375.0	-0.0010
374.0	-0.0012
373.0	-0.0016
372.0	-0.0021
371.0	-0.0045
370.0	-0.0082
369.0	-0.0100
368.0	-0.0102
367.0	-0.0104
366.0	-0.0104
365.0	-0.0103
364.0	-0.0102
363.0	-0.0102
362.0	-0.0100
361.0	-0.0100
360.0	-0.0100
359.0	-0.0100
358.0	-0.0103
357.0	-0.0104
356.0	-0.0103
355.0	-0.0102
354.0	-0.0102
353.0	-0.0102
352.0	-0.0100
351.0	-0.0097
350.0	-0.0095
349.0	-0.0095
348.0	-0.0093
347.0	-0.0095
346.0	-0.0092
345.0	-0.0088
344.0	-0.0085
343.0	-0.0083
342.0	-0.0081
341.0	-0.0080
340.0	-0.0078
339.0	-0.0077
338.0	-0.0074
337.0	-0.0072
336.0	-0.0069
335.0	-0.0069
334.0	-0.0069
333.0	-0.0065
332.0	-0.0065
331.0	-0.0063
330.0	-0.0060
329.0	-0.0057
328.0	-0.0053
327.0	-0.0050
326.0	-0.0050
325.0	-0.0048
324.0	-0.0045
323.0	-0.0041
322.0	-0.0039
321.0	-0.0036
320.0	-0.0034
319.0	-0.0031
318.0	-0.0029
317.0	-0.0029
316.0	-0.0029
315.0	-0.0027
314.0	-0.0026
313.0	-0.0021
312.0	-0.0019
311.0	-0.0019
310.0	-0.0018
309.0	-0.0016
308.0	-0.0016
307.0	-0.0016
306.0	-0.0017
305.0	-0.0018
304.0	-0.0020
303.0	-0.0022
302.0	-0.0026
301.0	-0.0031
300.0	-0.0035
299.0	-0.0039
298.0	-0.0043
297.0	-0.0048
296.0	-0.0054
295.0	-0.0058
294.0	-0.0064
293.0	-0.0069
292.0	-0.0072
291.0	-0.0078
290.0	-0.0081
289.0	-0.0083
288.0	-0.0087
287.0	-0.0091
286.0	-0.0091
285.0	-0.0090
284.0	-0.0089
283.0	-0.0086
282.0	-0.0083
281.0	-0.0080
280.0	-0.0074
279.0	-0.0062
278.0	-0.0046
277.0	-0.0029
276.0	-0.0009
275.0	0.0018
274.0	0.0053
273.0	0.0099
272.0	0.0156
271.0	0.0221
270.0	0.0291
269.0	0.0366
268.0	0.0434
267.0	0.0493
266.0	0.0542
265.0	0.0575
264.0	0.0593
263.0	0.0596
262.0	0.0587
261.0	0.0572
260.0	0.0553
259.0	0.0529
258.0	0.0504
257.0	0.0483
256.0	0.0464
255.0	0.0448
254.0	0.0439
253.0	0.0436
252.0	0.0443
251.0	0.0465
250.0	0.0509
249.0	0.0577
248.0	0.0679
247.0	0.0822
246.0	0.1021
245.0	0.1297
244.0	0.1672
243.0	0.2195
242.0	0.2910
241.0	0.3866
240.0	0.5127
239.0	0.6770
238.0	0.8841
237.0	1.1409
236.0	1.4510
235.0	1.7932
234.0	2.0915
233.0	2.2518
232.0	2.2291
231.0	2.1367
230.0	2.0000
229.0	1.8268
228.0	1.6253
227.0	1.3840
226.0	1.1029
225.0	0.8088
224.0	0.5369
223.0	0.3131
222.0	0.1638
221.0	0.0884
220.0	0.0616
219.0	0.0515
218.0	0.0422
217.0	0.0396
216.0	0.0464
215.0	0.0647
214.0	0.0808
213.0	0.0831
212.0	0.0861
211.0	0.0869
210.0	0.0692
209.0	0.0474
208.0	0.0527
207.0	0.0802
206.0	0.0901
205.0	0.0684
204.0	0.0564
203.0	0.0611
202.0	0.0611
201.0	0.0570
200.0	0.0426
