Sample:	
Run Date:	20-02-2020 19:57:52
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	255.0	232.0	217.0	2.2167	26.3580

Data Points
nm	Abs
600.0	0.0389
599.0	0.0405
598.0	0.0419
597.0	0.0432
596.0	0.0446
595.0	0.0460
594.0	0.0474
593.0	0.0487
592.0	0.0498
591.0	0.0511
590.0	0.0526
589.0	0.0539
588.0	0.0551
587.0	0.0562
586.0	0.0571
585.0	0.0582
584.0	0.0592
583.0	0.0601
582.0	0.0610
581.0	0.0619
580.0	0.0625
579.0	0.0631
578.0	0.0637
577.0	0.0641
576.0	0.0646
575.0	0.0652
574.0	0.0655
573.0	0.0656
572.0	0.0658
571.0	0.0661
570.0	0.0662
569.0	0.0664
568.0	0.0666
567.0	0.0664
566.0	0.0662
565.0	0.0661
564.0	0.0658
563.0	0.0656
562.0	0.0655
561.0	0.0653
560.0	0.0651
559.0	0.0647
558.0	0.0643
557.0	0.0641
556.0	0.0637
555.0	0.0631
554.0	0.0626
553.0	0.0622
552.0	0.0616
551.0	0.0611
550.0	0.0608
549.0	0.0602
548.0	0.0597
547.0	0.0590
546.0	0.0583
545.0	0.0577
544.0	0.0571
543.0	0.0564
542.0	0.0557
541.0	0.0550
540.0	0.0541
539.0	0.0534
538.0	0.0527
537.0	0.0520
536.0	0.0511
535.0	0.0503
534.0	0.0495
533.0	0.0485
532.0	0.0476
531.0	0.0466
530.0	0.0456
529.0	0.0446
528.0	0.0437
527.0	0.0426
526.0	0.0417
525.0	0.0408
524.0	0.0397
523.0	0.0389
522.0	0.0381
521.0	0.0371
520.0	0.0360
519.0	0.0350
518.0	0.0340
517.0	0.0332
516.0	0.0322
515.0	0.0314
514.0	0.0304
513.0	0.0294
512.0	0.0285
511.0	0.0276
510.0	0.0267
509.0	0.0257
508.0	0.0248
507.0	0.0239
506.0	0.0230
505.0	0.0223
504.0	0.0215
503.0	0.0209
502.0	0.0200
501.0	0.0190
500.0	0.0182
499.0	0.0174
498.0	0.0167
497.0	0.0161
496.0	0.0153
495.0	0.0147
494.0	0.0139
493.0	0.0131
492.0	0.0125
491.0	0.0118
490.0	0.0113
489.0	0.0106
488.0	0.0100
487.0	0.0093
486.0	0.0087
485.0	0.0080
484.0	0.0075
483.0	0.0070
482.0	0.0065
481.0	0.0060
480.0	0.0055
479.0	0.0049
478.0	0.0044
477.0	0.0038
476.0	0.0034
475.0	0.0030
474.0	0.0024
473.0	0.0020
472.0	0.0017
471.0	0.0013
470.0	0.0009
469.0	0.0007
468.0	0.0002
467.0	-0.0002
466.0	-0.0005
465.0	-0.0007
464.0	-0.0010
463.0	-0.0015
462.0	-0.0019
461.0	-0.0021
460.0	-0.0024
459.0	-0.0029
458.0	-0.0033
457.0	-0.0035
456.0	-0.0036
455.0	-0.0039
454.0	-0.0042
453.0	-0.0045
452.0	-0.0048
451.0	-0.0050
450.0	-0.0051
449.0	-0.0053
448.0	-0.0055
447.0	-0.0058
446.0	-0.0061
445.0	-0.0063
444.0	-0.0065
443.0	-0.0065
442.0	-0.0065
441.0	-0.0067
440.0	-0.0069
439.0	-0.0071
438.0	-0.0072
437.0	-0.0074
436.0	-0.0077
435.0	-0.0078
434.0	-0.0080
433.0	-0.0081
432.0	-0.0081
431.0	-0.0081
430.0	-0.0082
429.0	-0.0083
428.0	-0.0085
427.0	-0.0086
426.0	-0.0086
425.0	-0.0088
424.0	-0.0089
423.0	-0.0089
422.0	-0.0089
421.0	-0.0089
420.0	-0.0092
419.0	-0.0095
418.0	-0.0095
417.0	-0.0095
416.0	-0.0095
415.0	-0.0095
414.0	-0.0095
413.0	-0.0095
412.0	-0.0095
411.0	-0.0095
410.0	-0.0097
409.0	-0.0097
408.0	-0.0095
407.0	-0.0095
406.0	-0.0097
405.0	-0.0098
404.0	-0.0098
403.0	-0.0098
402.0	-0.0100
401.0	-0.0100
400.0	-0.0100
399.0	-0.0102
398.0	-0.0102
397.0	-0.0103
396.0	-0.0104
395.0	-0.0104
394.0	-0.0105
393.0	-0.0105
392.0	-0.0106
391.0	-0.0107
390.0	-0.0108
389.0	-0.0108
388.0	-0.0109
387.0	-0.0110
386.0	-0.0110
385.0	-0.0110
384.0	-0.0110
383.0	-0.0110
382.0	-0.0112
381.0	-0.0116
380.0	-0.0126
379.0	-0.0132
378.0	-0.0130
377.0	-0.0130
376.0	-0.0133
