Sample:	
Run Date:	20-02-2020 21:01:16
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	236.0	202.0	2.0329	51.8873

Data Points
nm	Abs
600.0	0.0089
599.0	0.0094
598.0	0.0100
597.0	0.0107
596.0	0.0115
595.0	0.0122
594.0	0.0129
593.0	0.0138
592.0	0.0147
591.0	0.0154
590.0	0.0164
589.0	0.0176
588.0	0.0186
587.0	0.0197
586.0	0.0210
585.0	0.0223
584.0	0.0235
583.0	0.0248
582.0	0.0262
581.0	0.0278
580.0	0.0293
579.0	0.0308
578.0	0.0322
577.0	0.0339
576.0	0.0356
575.0	0.0373
574.0	0.0390
573.0	0.0408
572.0	0.0426
571.0	0.0446
570.0	0.0465
569.0	0.0483
568.0	0.0502
567.0	0.0522
566.0	0.0540
565.0	0.0559
564.0	0.0579
563.0	0.0597
562.0	0.0615
561.0	0.0633
560.0	0.0652
559.0	0.0669
558.0	0.0684
557.0	0.0699
556.0	0.0714
555.0	0.0729
554.0	0.0744
553.0	0.0759
552.0	0.0773
551.0	0.0786
550.0	0.0797
549.0	0.0809
548.0	0.0819
547.0	0.0828
546.0	0.0837
545.0	0.0846
544.0	0.0854
543.0	0.0860
542.0	0.0866
541.0	0.0869
540.0	0.0875
539.0	0.0879
538.0	0.0884
537.0	0.0884
536.0	0.0885
535.0	0.0887
534.0	0.0887
533.0	0.0887
532.0	0.0885
531.0	0.0884
530.0	0.0884
529.0	0.0882
528.0	0.0879
527.0	0.0876
526.0	0.0870
525.0	0.0867
524.0	0.0863
523.0	0.0858
522.0	0.0852
521.0	0.0847
520.0	0.0842
519.0	0.0835
518.0	0.0828
517.0	0.0819
516.0	0.0811
515.0	0.0805
514.0	0.0796
513.0	0.0786
512.0	0.0778
511.0	0.0768
510.0	0.0757
509.0	0.0747
508.0	0.0738
507.0	0.0727
506.0	0.0716
505.0	0.0705
504.0	0.0695
503.0	0.0684
502.0	0.0671
501.0	0.0658
500.0	0.0646
499.0	0.0635
498.0	0.0622
497.0	0.0610
496.0	0.0597
495.0	0.0585
494.0	0.0574
493.0	0.0562
492.0	0.0551
