Sample:	
Run Date:	20-02-2020 21:16:44
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	235.0	202.0	2.0099	52.1860

Data Points
nm	Abs
600.0	0.0194
599.0	0.0206
598.0	0.0220
597.0	0.0234
596.0	0.0249
595.0	0.0263
594.0	0.0278
593.0	0.0293
592.0	0.0309
591.0	0.0326
590.0	0.0344
589.0	0.0364
588.0	0.0380
587.0	0.0396
586.0	0.0415
585.0	0.0434
584.0	0.0450
583.0	0.0466
582.0	0.0484
581.0	0.0503
580.0	0.0521
579.0	0.0539
578.0	0.0556
577.0	0.0571
576.0	0.0587
575.0	0.0602
574.0	0.0616
573.0	0.0631
572.0	0.0644
571.0	0.0657
570.0	0.0671
569.0	0.0684
568.0	0.0695
567.0	0.0705
566.0	0.0716
565.0	0.0725
564.0	0.0734
563.0	0.0742
562.0	0.0749
561.0	0.0756
560.0	0.0762
559.0	0.0765
558.0	0.0768
557.0	0.0771
556.0	0.0773
555.0	0.0776
554.0	0.0778
553.0	0.0781
552.0	0.0782
551.0	0.0782
550.0	0.0779
549.0	0.0778
548.0	0.0776
547.0	0.0773
546.0	0.0771
545.0	0.0767
544.0	0.0764
543.0	0.0759
542.0	0.0756
541.0	0.0750
540.0	0.0745
539.0	0.0742
538.0	0.0737
537.0	0.0730
536.0	0.0724
535.0	0.0718
534.0	0.0710
533.0	0.0703
532.0	0.0695
531.0	0.0688
530.0	0.0680
529.0	0.0672
528.0	0.0663
527.0	0.0655
526.0	0.0644
525.0	0.0635
524.0	0.0625
523.0	0.0616
522.0	0.0608
521.0	0.0597
520.0	0.0587
519.0	0.0577
518.0	0.0568
517.0	0.0556
516.0	0.0545
515.0	0.0535
514.0	0.0525
513.0	0.0512
512.0	0.0502
511.0	0.0490
510.0	0.0478
509.0	0.0466
508.0	0.0455
507.0	0.0444
506.0	0.0434
505.0	0.0423
504.0	0.0412
503.0	0.0403
502.0	0.0394
501.0	0.0382
500.0	0.0369
499.0	0.0359
498.0	0.0348
497.0	0.0340
496.0	0.0330
495.0	0.0321
494.0	0.0311
493.0	0.0302
492.0	0.0293
491.0	0.0285
490.0	0.0276
489.0	0.0267
488.0	0.0259
487.0	0.0251
486.0	0.0242
485.0	0.0234
484.0	0.0226
483.0	0.0219
482.0	0.0211
481.0	0.0203
480.0	0.0195
479.0	0.0189
478.0	0.0182
477.0	0.0174
476.0	0.0169
475.0	0.0163
474.0	0.0157
473.0	0.0150
472.0	0.0143
471.0	0.0138
470.0	0.0131
469.0	0.0125
468.0	0.0119
467.0	0.0114
466.0	0.0110
465.0	0.0106
464.0	0.0102
463.0	0.0097
462.0	0.0093
461.0	0.0090
460.0	0.0085
459.0	0.0080
458.0	0.0076
457.0	0.0072
456.0	0.0067
455.0	0.0065
454.0	0.0064
453.0	0.0061
452.0	0.0056
451.0	0.0052
450.0	0.0049
449.0	0.0047
448.0	0.0044
447.0	0.0041
446.0	0.0038
445.0	0.0037
444.0	0.0035
443.0	0.0032
442.0	0.0030
441.0	0.0029
440.0	0.0027
439.0	0.0026
438.0	0.0024
437.0	0.0021
436.0	0.0020
435.0	0.0020
434.0	0.0020
433.0	0.0018
432.0	0.0017
