Sample:	
Run Date:	20-02-2020 21:25:49
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	236.0	202.0	2.0089	52.0826

Data Points
nm	Abs
600.0	0.0015
599.0	0.0015
598.0	0.0015
597.0	0.0014
596.0	0.0016
595.0	0.0017
594.0	0.0016
593.0	0.0015
592.0	0.0015
591.0	0.0015
590.0	0.0014
589.0	0.0015
588.0	0.0015
587.0	0.0015
586.0	0.0015
585.0	0.0015
584.0	0.0015
583.0	0.0015
582.0	0.0016
581.0	0.0017
580.0	0.0017
579.0	0.0017
578.0	0.0017
577.0	0.0017
576.0	0.0018
575.0	0.0019
574.0	0.0018
573.0	0.0018
572.0	0.0019
571.0	0.0019
570.0	0.0020
569.0	0.0020
568.0	0.0020
567.0	0.0020
566.0	0.0020
565.0	0.0020
564.0	0.0020
563.0	0.0020
562.0	0.0020
561.0	0.0021
560.0	0.0024
559.0	0.0024
558.0	0.0024
557.0	0.0024
556.0	0.0024
555.0	0.0024
554.0	0.0026
553.0	0.0027
552.0	0.0029
551.0	0.0029
550.0	0.0029
549.0	0.0030
548.0	0.0032
547.0	0.0032
546.0	0.0033
545.0	0.0035
544.0	0.0035
543.0	0.0035
542.0	0.0035
541.0	0.0035
540.0	0.0036
539.0	0.0038
538.0	0.0041
537.0	0.0041
536.0	0.0041
535.0	0.0041
534.0	0.0044
533.0	0.0044
532.0	0.0045
531.0	0.0047
530.0	0.0049
529.0	0.0049
528.0	0.0049
527.0	0.0049
526.0	0.0050
525.0	0.0052
524.0	0.0056
523.0	0.0056
522.0	0.0058
521.0	0.0059
520.0	0.0061
519.0	0.0061
518.0	0.0061
517.0	0.0061
516.0	0.0062
515.0	0.0064
514.0	0.0064
513.0	0.0064
512.0	0.0064
511.0	0.0064
510.0	0.0064
509.0	0.0064
508.0	0.0064
507.0	0.0064
506.0	0.0064
505.0	0.0064
504.0	0.0064
503.0	0.0064
502.0	0.0064
501.0	0.0064
500.0	0.0062
499.0	0.0061
498.0	0.0061
497.0	0.0061
496.0	0.0061
495.0	0.0060
494.0	0.0061
493.0	0.0061
492.0	0.0061
491.0	0.0061
490.0	0.0059
489.0	0.0058
488.0	0.0058
487.0	0.0058
486.0	0.0056
