Sample:	
Run Date:	11-03-2020 19:06:57
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	264.0	227.0	207.0	2.6442	42.2674

Data Points
nm	Abs
900.0	0.0004
899.0	0.0005
898.0	0.0005
897.0	0.0005
896.0	0.0005
895.0	0.0005
894.0	0.0005
893.0	0.0005
892.0	0.0005
891.0	0.0005
890.0	0.0005
889.0	0.0005
888.0	0.0005
887.0	0.0005
886.0	0.0005
885.0	0.0005
884.0	0.0005
883.0	0.0005
882.0	0.0005
881.0	0.0004
880.0	0.0004
879.0	0.0005
878.0	0.0005
877.0	0.0004
876.0	0.0004
875.0	0.0005
874.0	0.0005
873.0	0.0004
872.0	0.0004
871.0	0.0005
870.0	0.0005
869.0	0.0004
868.0	0.0003
867.0	0.0004
866.0	0.0004
865.0	0.0004
864.0	0.0003
863.0	0.0003
862.0	0.0003
861.0	0.0003
860.0	0.0003
859.0	0.0003
858.0	0.0003
857.0	0.0003
856.0	0.0001
855.0	0.0001
854.0	0.0003
853.0	0.0003
852.0	0.0003
851.0	0.0001
850.0	0.0001
849.0	0.0002
848.0	0.0001
847.0	0.0000
846.0	0.0000
845.0	0.0000
844.0	0.0000
843.0	0.0000
842.0	0.0001
841.0	0.0003
840.0	0.0003
839.0	0.0001
838.0	0.0000
837.0	0.0000
836.0	0.0001
835.0	0.0003
834.0	0.0003
833.0	0.0003
832.0	0.0003
831.0	0.0003
830.0	0.0003
829.0	0.0003
828.0	0.0004
827.0	0.0005
826.0	0.0005
825.0	0.0005
824.0	0.0005
823.0	0.0005
822.0	0.0005
821.0	0.0005
820.0	0.0005
819.0	0.0005
818.0	0.0005
817.0	0.0005
816.0	0.0005
815.0	0.0005
814.0	0.0005
813.0	0.0005
812.0	0.0005
811.0	0.0005
810.0	0.0005
809.0	0.0005
808.0	0.0005
807.0	0.0005
806.0	0.0005
805.0	0.0005
804.0	0.0005
803.0	0.0005
802.0	0.0005
801.0	0.0005
800.0	0.0005
799.0	0.0005
798.0	0.0007
797.0	0.0007
796.0	0.0007
795.0	0.0005
794.0	0.0005
793.0	0.0005
792.0	0.0005
791.0	0.0005
790.0	0.0005
789.0	0.0005
788.0	0.0005
787.0	0.0005
786.0	0.0007
