Sample:	
Run Date:	11-03-2020 18:32:43
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	270.0	227.0	209.0	2.6535	43.2697

Data Points
nm	Abs
900.0	0.0003
899.0	0.0004
898.0	0.0004
897.0	0.0004
896.0	0.0005
895.0	0.0005
894.0	0.0005
893.0	0.0005
892.0	0.0004
891.0	0.0005
890.0	0.0005
889.0	0.0004
888.0	0.0005
887.0	0.0005
886.0	0.0005
885.0	0.0004
884.0	0.0004
883.0	0.0004
882.0	0.0003
881.0	0.0001
880.0	0.0001
879.0	0.0003
878.0	0.0003
877.0	0.0001
876.0	0.0001
875.0	0.0003
874.0	0.0003
873.0	0.0001
872.0	0.0001
871.0	0.0003
870.0	0.0003
869.0	0.0001
868.0	0.0000
867.0	0.0001
866.0	0.0002
865.0	0.0001
864.0	0.0000
863.0	0.0000
862.0	0.0000
861.0	0.0000
860.0	0.0000
859.0	-0.0002
858.0	-0.0003
857.0	-0.0003
856.0	-0.0003
855.0	-0.0003
854.0	-0.0003
853.0	-0.0003
852.0	-0.0003
851.0	-0.0005
850.0	-0.0005
849.0	-0.0003
848.0	-0.0003
847.0	-0.0004
846.0	-0.0004
845.0	-0.0004
844.0	-0.0004
843.0	-0.0005
842.0	-0.0005
841.0	-0.0003
840.0	-0.0003
839.0	-0.0005
838.0	-0.0005
837.0	-0.0003
836.0	-0.0003
835.0	-0.0004
834.0	-0.0003
833.0	-0.0003
832.0	-0.0003
831.0	-0.0003
830.0	-0.0003
829.0	-0.0003
828.0	-0.0002
827.0	0.0000
826.0	0.0000
825.0	0.0000
824.0	0.0000
823.0	0.0000
822.0	0.0000
821.0	0.0000
820.0	0.0000
819.0	0.0000
818.0	-0.0001
817.0	0.0000
816.0	0.0001
815.0	0.0002
814.0	0.0001
813.0	0.0000
812.0	0.0000
811.0	0.0000
810.0	0.0000
809.0	0.0000
808.0	0.0001
807.0	0.0002
806.0	0.0001
805.0	0.0000
804.0	0.0001
803.0	0.0003
802.0	0.0003
801.0	0.0003
800.0	0.0003
799.0	0.0003
798.0	0.0002
797.0	0.0002
796.0	0.0002
795.0	0.0003
794.0	0.0003
793.0	0.0003
792.0	0.0003
791.0	0.0003
790.0	0.0003
789.0	0.0003
788.0	0.0003
787.0	0.0001
786.0	0.0001
785.0	0.0002
784.0	0.0001
783.0	0.0000
782.0	0.0000
781.0	0.0000
780.0	0.0000
779.0	0.0000
778.0	0.0001
777.0	0.0002
776.0	0.0001
775.0	0.0000
774.0	0.0000
773.0	0.0000
772.0	-0.0002
771.0	-0.0002
770.0	-0.0001
769.0	-0.0002
768.0	-0.0002
767.0	0.0000
766.0	0.0000
765.0	-0.0001
764.0	-0.0001
763.0	-0.0001
762.0	-0.0001
761.0	-0.0003
760.0	-0.0004
759.0	-0.0004
758.0	-0.0005
757.0	-0.0005
756.0	-0.0004
755.0	-0.0005
754.0	-0.0007
753.0	-0.0007
752.0	-0.0007
751.0	-0.0007
750.0	-0.0007
749.0	-0.0007
748.0	-0.0007
747.0	-0.0007
746.0	-0.0009
745.0	-0.0010
744.0	-0.0010
743.0	-0.0010
742.0	-0.0010
741.0	-0.0010
740.0	-0.0009
739.0	-0.0007
738.0	-0.0005
737.0	-0.0003
736.0	-0.0003
735.0	-0.0005
734.0	-0.0007
733.0	-0.0007
732.0	-0.0005
731.0	-0.0004
730.0	-0.0004
729.0	-0.0004
728.0	-0.0004
727.0	-0.0003
726.0	-0.0003
725.0	-0.0002
724.0	-0.0001
723.0	-0.0001
722.0	-0.0001
721.0	-0.0001
720.0	-0.0001
719.0	-0.0001
718.0	-0.0001
717.0	-0.0002
716.0	-0.0002
715.0	0.0000
714.0	0.0000
713.0	0.0000
712.0	0.0000
711.0	0.0000
710.0	0.0000
709.0	0.0000
708.0	0.0001
707.0	0.0002
706.0	0.0002
705.0	0.0003
704.0	0.0003
703.0	0.0003
702.0	0.0003
701.0	0.0004
700.0	0.0004
699.0	0.0004
698.0	0.0004
697.0	0.0004
696.0	0.0005
695.0	0.0005
694.0	0.0005
693.0	0.0005
692.0	0.0005
691.0	0.0005
690.0	0.0005
689.0	0.0005
688.0	0.0005
687.0	0.0007
686.0	0.0009
685.0	0.0009
684.0	0.0009
683.0	0.0009
682.0	0.0010
681.0	0.0012
680.0	0.0012
679.0	0.0013
678.0	0.0014
677.0	0.0014
676.0	0.0015
675.0	0.0015
674.0	0.0015
673.0	0.0016
672.0	0.0017
671.0	0.0017
670.0	0.0018
669.0	0.0020
668.0	0.0020
667.0	0.0020
666.0	0.0021
665.0	0.0024
664.0	0.0024
663.0	0.0024
662.0	0.0026
661.0	0.0027
660.0	0.0029
659.0	0.0029
658.0	0.0030
657.0	0.0032
656.0	0.0033
655.0	0.0035
654.0	0.0035
653.0	0.0036
652.0	0.0037
651.0	0.0038
650.0	0.0041
649.0	0.0044
648.0	0.0045
647.0	0.0046
646.0	0.0047
645.0	0.0049
644.0	0.0050
643.0	0.0052
642.0	0.0053
641.0	0.0056
640.0	0.0058
639.0	0.0060
638.0	0.0062
637.0	0.0064
636.0	0.0064
635.0	0.0065
634.0	0.0066
633.0	0.0068
632.0	0.0073
631.0	0.0076
630.0	0.0078
629.0	0.0078
628.0	0.0079
627.0	0.0082
626.0	0.0086
625.0	0.0089
624.0	0.0090
623.0	0.0091
622.0	0.0093
621.0	0.0097
620.0	0.0099
619.0	0.0100
618.0	0.0102
617.0	0.0105
616.0	0.0107
615.0	0.0109
614.0	0.0110
613.0	0.0112
612.0	0.0114
611.0	0.0117
610.0	0.0120
609.0	0.0122
608.0	0.0124
607.0	0.0126
606.0	0.0128
605.0	0.0129
604.0	0.0131
603.0	0.0135
602.0	0.0128
601.0	0.0117
600.0	0.0115
599.0	0.0118
598.0	0.0119
597.0	0.0119
596.0	0.0119
595.0	0.0119
594.0	0.0119
593.0	0.0120
592.0	0.0122
591.0	0.0122
590.0	0.0122
589.0	0.0122
588.0	0.0122
587.0	0.0122
586.0	0.0122
585.0	0.0122
584.0	0.0122
583.0	0.0122
582.0	0.0122
581.0	0.0122
580.0	0.0120
579.0	0.0119
578.0	0.0118
577.0	0.0118
576.0	0.0116
575.0	0.0113
574.0	0.0110
573.0	0.0107
572.0	0.0107
571.0	0.0107
570.0	0.0104
569.0	0.0101
568.0	0.0099
567.0	0.0097
566.0	0.0094
565.0	0.0093
564.0	0.0090
563.0	0.0088
562.0	0.0085
561.0	0.0082
560.0	0.0079
559.0	0.0078
558.0	0.0076
557.0	0.0073
556.0	0.0070
555.0	0.0067
554.0	0.0065
553.0	0.0064
552.0	0.0061
551.0	0.0059
550.0	0.0056
549.0	0.0052
548.0	0.0050
547.0	0.0049
546.0	0.0049
545.0	0.0047
544.0	0.0044
543.0	0.0041
542.0	0.0038
541.0	0.0036
540.0	0.0035
539.0	0.0035
538.0	0.0035
537.0	0.0033
536.0	0.0032
535.0	0.0030
534.0	0.0029
533.0	0.0027
532.0	0.0026
531.0	0.0026
530.0	0.0027
529.0	0.0029
528.0	0.0029
527.0	0.0030
526.0	0.0032
525.0	0.0033
524.0	0.0036
523.0	0.0041
522.0	0.0045
521.0	0.0050
520.0	0.0056
519.0	0.0061
518.0	0.0067
517.0	0.0075
516.0	0.0083
515.0	0.0093
514.0	0.0102
513.0	0.0110
512.0	0.0120
511.0	0.0130
510.0	0.0140
509.0	0.0150
508.0	0.0160
507.0	0.0169
506.0	0.0176
505.0	0.0183
504.0	0.0189
503.0	0.0194
502.0	0.0197
501.0	0.0200
500.0	0.0203
499.0	0.0203
498.0	0.0200
497.0	0.0197
496.0	0.0195
495.0	0.0193
494.0	0.0189
493.0	0.0182
492.0	0.0176
491.0	0.0171
490.0	0.0164
489.0	0.0157
488.0	0.0149
487.0	0.0141
486.0	0.0135
485.0	0.0129
484.0	0.0124
483.0	0.0118
482.0	0.0113
481.0	0.0109
480.0	0.0104
479.0	0.0099
478.0	0.0094
477.0	0.0093
476.0	0.0090
475.0	0.0088
474.0	0.0085
473.0	0.0082
472.0	0.0079
471.0	0.0078
470.0	0.0077
469.0	0.0076
468.0	0.0073
467.0	0.0070
466.0	0.0070
465.0	0.0067
464.0	0.0064
463.0	0.0062
462.0	0.0061
461.0	0.0059
460.0	0.0056
459.0	0.0052
458.0	0.0050
457.0	0.0049
456.0	0.0049
455.0	0.0047
454.0	0.0046
453.0	0.0044
452.0	0.0041
451.0	0.0041
450.0	0.0038
449.0	0.0036
448.0	0.0035
447.0	0.0035
446.0	0.0035
445.0	0.0035
444.0	0.0033
443.0	0.0032
442.0	0.0032
441.0	0.0032
440.0	0.0030
439.0	0.0029
438.0	0.0029
437.0	0.0029
436.0	0.0029
435.0	0.0030
434.0	0.0030
433.0	0.0029
432.0	0.0029
431.0	0.0029
430.0	0.0030
429.0	0.0031
428.0	0.0030
427.0	0.0030
426.0	0.0032
425.0	0.0033
424.0	0.0034
423.0	0.0034
422.0	0.0035
421.0	0.0035
420.0	0.0035
419.0	0.0035
418.0	0.0035
417.0	0.0035
416.0	0.0035
415.0	0.0035
414.0	0.0036
413.0	0.0036
412.0	0.0036
411.0	0.0038
410.0	0.0039
409.0	0.0039
408.0	0.0041
407.0	0.0041
406.0	0.0041
405.0	0.0041
404.0	0.0041
403.0	0.0043
402.0	0.0043
401.0	0.0044
400.0	0.0044
399.0	0.0044
398.0	0.0043
397.0	0.0044
396.0	0.0045
395.0	0.0045
394.0	0.0045
393.0	0.0046
392.0	0.0046
391.0	0.0045
390.0	0.0046
389.0	0.0046
388.0	0.0047
387.0	0.0048
386.0	0.0047
385.0	0.0047
384.0	0.0048
383.0	0.0048
382.0	0.0049
381.0	0.0027
380.0	-0.0015
379.0	-0.0039
378.0	-0.0042
377.0	-0.0039
376.0	-0.0036
375.0	-0.0037
374.0	-0.0037
373.0	-0.0034
372.0	-0.0037
371.0	-0.0016
370.0	0.0039
369.0	0.0070
368.0	0.0073
367.0	0.0072
366.0	0.0070
365.0	0.0073
364.0	0.0076
363.0	0.0078
362.0	0.0078
361.0	0.0078
360.0	0.0080
359.0	0.0083
358.0	0.0087
357.0	0.0088
356.0	0.0088
355.0	0.0089
354.0	0.0089
353.0	0.0088
352.0	0.0090
351.0	0.0093
350.0	0.0093
349.0	0.0092
348.0	0.0090
347.0	0.0090
346.0	0.0093
345.0	0.0093
344.0	0.0090
343.0	0.0089
342.0	0.0089
341.0	0.0090
340.0	0.0091
339.0	0.0092
338.0	0.0093
337.0	0.0093
336.0	0.0094
335.0	0.0097
334.0	0.0100
333.0	0.0105
332.0	0.0112
331.0	0.0118
330.0	0.0122
329.0	0.0128
328.0	0.0134
327.0	0.0140
326.0	0.0146
325.0	0.0150
324.0	0.0156
323.0	0.0160
322.0	0.0166
321.0	0.0172
320.0	0.0176
319.0	0.0182
318.0	0.0189
317.0	0.0194
316.0	0.0197
315.0	0.0201
314.0	0.0205
313.0	0.0209
312.0	0.0212
311.0	0.0214
310.0	0.0216
309.0	0.0217
308.0	0.0216
307.0	0.0217
306.0	0.0219
305.0	0.0216
304.0	0.0214
303.0	0.0212
302.0	0.0210
301.0	0.0209
300.0	0.0209
299.0	0.0209
298.0	0.0206
297.0	0.0203
296.0	0.0200
295.0	0.0196
294.0	0.0194
293.0	0.0192
292.0	0.0191
291.0	0.0189
290.0	0.0185
289.0	0.0184
288.0	0.0184
287.0	0.0184
286.0	0.0185
285.0	0.0185
284.0	0.0187
283.0	0.0191
282.0	0.0194
281.0	0.0197
280.0	0.0201
279.0	0.0205
278.0	0.0211
277.0	0.0217
276.0	0.0223
275.0	0.0227
274.0	0.0234
273.0	0.0242
272.0	0.0251
271.0	0.0260
270.0	0.0270
269.0	0.0281
268.0	0.0294
267.0	0.0306
266.0	0.0320
265.0	0.0335
264.0	0.0350
263.0	0.0366
262.0	0.0384
261.0	0.0405
260.0	0.0427
259.0	0.0453
258.0	0.0483
257.0	0.0514
256.0	0.0549
255.0	0.0586
254.0	0.0626
253.0	0.0668
252.0	0.0714
251.0	0.0768
250.0	0.0825
249.0	0.0887
248.0	0.0957
247.0	0.1037
246.0	0.1124
245.0	0.1223
244.0	0.1341
243.0	0.1483
242.0	0.1660
241.0	0.1885
240.0	0.2175
239.0	0.2558
238.0	0.3062
237.0	0.3728
236.0	0.4626
235.0	0.5839
234.0	0.7442
233.0	0.9570
232.0	1.2321
231.0	1.5784
230.0	1.9788
229.0	2.3768
228.0	2.6198
227.0	2.6576
226.0	2.6576
225.0	2.6576
224.0	2.6198
223.0	2.5376
222.0	2.4685
221.0	2.3565
220.0	2.2147
219.0	2.0223
218.0	1.7852
217.0	1.4855
216.0	1.1278
215.0	0.7515
214.0	0.4182
213.0	0.2009
212.0	0.0872
211.0	0.0317
210.0	0.0104
209.0	0.0075
208.0	0.0122
207.0	0.0137
206.0	0.0077
205.0	0.0035
204.0	-0.0020
203.0	-0.0087
202.0	-0.0045
201.0	-0.0007
200.0	-0.0108
