Sample:	
Run Date:	11-03-2020 15:53:07
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	568.0	537.0	510.0	0.3082	7.8701
2	251.0	231.0	228.0	2.5372	24.6682
3	228.0	227.0	201.0	2.4451	50.5106

Data Points
nm	Abs
900.0	0.0005
899.0	0.0004
898.0	0.0003
897.0	0.0004
896.0	0.0005
895.0	0.0005
894.0	0.0004
893.0	0.0004
892.0	0.0004
891.0	0.0004
890.0	0.0005
889.0	0.0005
888.0	0.0004
887.0	0.0004
886.0	0.0004
885.0	0.0003
884.0	0.0002
883.0	0.0002
882.0	0.0002
881.0	0.0003
880.0	0.0003
879.0	0.0003
878.0	0.0003
877.0	0.0003
876.0	0.0003
875.0	0.0003
874.0	0.0003
873.0	0.0004
872.0	0.0004
871.0	0.0004
870.0	0.0003
869.0	0.0003
868.0	0.0003
867.0	0.0003
866.0	0.0003
865.0	0.0003
864.0	0.0003
863.0	0.0003
862.0	0.0003
861.0	0.0003
860.0	0.0003
859.0	0.0003
858.0	0.0004
857.0	0.0004
856.0	0.0004
855.0	0.0003
854.0	0.0004
853.0	0.0005
852.0	0.0005
851.0	0.0005
850.0	0.0005
849.0	0.0004
848.0	0.0005
847.0	0.0005
846.0	0.0004
845.0	0.0004
844.0	0.0004
843.0	0.0005
842.0	0.0005
841.0	0.0005
840.0	0.0005
839.0	0.0005
838.0	0.0005
837.0	0.0005
836.0	0.0005
835.0	0.0005
834.0	0.0005
833.0	0.0005
832.0	0.0005
831.0	0.0005
830.0	0.0005
829.0	0.0005
828.0	0.0005
827.0	0.0005
826.0	0.0005
825.0	0.0005
824.0	0.0005
823.0	0.0005
822.0	0.0005
821.0	0.0005
820.0	0.0005
819.0	0.0005
818.0	0.0005
817.0	0.0005
816.0	0.0005
815.0	0.0005
814.0	0.0005
813.0	0.0005
812.0	0.0005
811.0	0.0005
810.0	0.0005
809.0	0.0005
808.0	0.0005
807.0	0.0005
806.0	0.0005
805.0	0.0005
804.0	0.0005
803.0	0.0005
802.0	0.0005
801.0	0.0005
800.0	0.0005
799.0	0.0005
798.0	0.0005
797.0	0.0005
796.0	0.0005
795.0	0.0005
794.0	0.0005
793.0	0.0005
792.0	0.0005
791.0	0.0005
790.0	0.0005
789.0	0.0005
788.0	0.0005
787.0	0.0005
786.0	0.0005
785.0	0.0005
784.0	0.0005
783.0	0.0005
782.0	0.0007
781.0	0.0007
780.0	0.0007
779.0	0.0005
778.0	0.0005
777.0	0.0005
776.0	0.0005
775.0	0.0005
774.0	0.0005
773.0	0.0005
772.0	0.0005
771.0	0.0005
770.0	0.0005
769.0	0.0005
768.0	0.0005
767.0	0.0005
766.0	0.0005
765.0	0.0005
764.0	0.0005
763.0	0.0005
762.0	0.0005
761.0	0.0005
760.0	0.0005
759.0	0.0005
758.0	0.0005
757.0	0.0005
756.0	0.0005
755.0	0.0005
754.0	0.0005
753.0	0.0005
752.0	0.0005
751.0	0.0005
750.0	0.0005
749.0	0.0004
748.0	0.0003
747.0	0.0003
746.0	0.0003
745.0	0.0003
744.0	0.0003
743.0	0.0003
742.0	0.0003
741.0	0.0004
740.0	0.0005
739.0	0.0005
738.0	0.0005
737.0	0.0005
736.0	0.0005
735.0	0.0007
734.0	0.0007
733.0	0.0007
732.0	0.0005
731.0	0.0007
730.0	0.0009
729.0	0.0009
728.0	0.0007
727.0	0.0007
726.0	0.0007
725.0	0.0007
724.0	0.0005
723.0	0.0007
722.0	0.0007
721.0	0.0007
720.0	0.0005
719.0	0.0005
718.0	0.0005
717.0	0.0005
716.0	0.0005
715.0	0.0005
714.0	0.0005
713.0	0.0005
712.0	0.0005
711.0	0.0005
710.0	0.0005
709.0	0.0005
708.0	0.0005
707.0	0.0005
706.0	0.0005
705.0	0.0005
704.0	0.0005
703.0	0.0005
702.0	0.0005
701.0	0.0005
700.0	0.0005
699.0	0.0005
698.0	0.0005
697.0	0.0005
696.0	0.0005
695.0	0.0005
694.0	0.0005
693.0	0.0005
692.0	0.0005
691.0	0.0005
690.0	0.0005
689.0	0.0005
688.0	0.0005
687.0	0.0005
686.0	0.0005
685.0	0.0005
684.0	0.0005
683.0	0.0005
682.0	0.0005
681.0	0.0005
680.0	0.0005
679.0	0.0005
678.0	0.0005
677.0	0.0005
676.0	0.0005
675.0	0.0005
674.0	0.0005
673.0	0.0005
672.0	0.0005
671.0	0.0005
670.0	0.0005
669.0	0.0005
668.0	0.0005
667.0	0.0005
666.0	0.0005
665.0	0.0005
664.0	0.0005
663.0	0.0005
662.0	0.0005
661.0	0.0005
660.0	0.0005
659.0	0.0005
658.0	0.0005
657.0	0.0005
656.0	0.0005
655.0	0.0005
654.0	0.0005
653.0	0.0005
652.0	0.0005
651.0	0.0005
650.0	0.0005
649.0	0.0005
648.0	0.0005
647.0	0.0005
646.0	0.0005
645.0	0.0005
644.0	0.0005
643.0	0.0005
642.0	0.0005
641.0	0.0005
640.0	0.0005
639.0	0.0005
638.0	0.0005
637.0	0.0005
636.0	0.0005
635.0	0.0005
634.0	0.0005
633.0	0.0005
632.0	0.0005
631.0	0.0005
630.0	0.0005
629.0	0.0005
628.0	0.0005
627.0	0.0005
626.0	0.0005
625.0	0.0005
624.0	0.0005
623.0	0.0005
622.0	0.0005
621.0	0.0005
620.0	0.0005
619.0	0.0005
618.0	0.0005
617.0	0.0005
616.0	0.0005
615.0	0.0005
614.0	0.0005
613.0	0.0005
612.0	0.0005
611.0	0.0005
610.0	0.0005
609.0	0.0005
608.0	0.0005
607.0	0.0005
606.0	0.0005
605.0	0.0005
604.0	0.0005
603.0	0.0005
602.0	0.0009
601.0	0.0015
600.0	0.0020
599.0	0.0020
598.0	0.0020
597.0	0.0020
596.0	0.0020
595.0	0.0020
594.0	0.0020
593.0	0.0020
592.0	0.0020
591.0	0.0020
590.0	0.0020
589.0	0.0020
588.0	0.0021
587.0	0.0024
586.0	0.0024
585.0	0.0024
584.0	0.0026
583.0	0.0027
582.0	0.0032
581.0	0.0035
580.0	0.0036
579.0	0.0038
578.0	0.0041
577.0	0.0045
576.0	0.0049
575.0	0.0055
574.0	0.0061
573.0	0.0068
572.0	0.0078
571.0	0.0092
570.0	0.0107
569.0	0.0125
568.0	0.0144
567.0	0.0169
566.0	0.0199
565.0	0.0233
564.0	0.0271
563.0	0.0316
562.0	0.0369
561.0	0.0434
