Sample:	
Run Date:	11-03-2020 17:46:54
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	564.0	535.0	510.0	0.2727	6.9082
2	249.0	235.0	202.0	2.1314	56.0264

Data Points
nm	Abs
900.0	0.0003
899.0	0.0003
898.0	0.0003
897.0	0.0003
896.0	0.0002
895.0	0.0003
894.0	0.0003
893.0	0.0002
892.0	0.0003
891.0	0.0003
890.0	0.0002
889.0	0.0002
888.0	0.0001
887.0	0.0000
886.0	0.0001
885.0	0.0003
884.0	0.0003
883.0	0.0002
882.0	0.0003
881.0	0.0003
880.0	0.0003
879.0	0.0003
878.0	0.0002
877.0	0.0003
876.0	0.0003
875.0	0.0003
874.0	0.0003
873.0	0.0003
872.0	0.0003
871.0	0.0003
870.0	0.0004
869.0	0.0004
868.0	0.0004
867.0	0.0004
866.0	0.0005
865.0	0.0005
864.0	0.0005
863.0	0.0005
862.0	0.0005
861.0	0.0005
860.0	0.0005
859.0	0.0004
858.0	0.0004
857.0	0.0004
856.0	0.0003
855.0	0.0003
854.0	0.0003
853.0	0.0003
852.0	0.0003
851.0	0.0003
850.0	0.0003
849.0	0.0004
848.0	0.0005
847.0	0.0005
846.0	0.0005
845.0	0.0005
844.0	0.0005
843.0	0.0005
842.0	0.0004
841.0	0.0003
840.0	0.0003
839.0	0.0003
838.0	0.0001
837.0	0.0000
836.0	0.0000
835.0	0.0000
834.0	0.0000
833.0	0.0000
832.0	0.0000
831.0	0.0000
830.0	0.0000
829.0	0.0000
828.0	0.0000
827.0	0.0000
826.0	0.0000
825.0	-0.0001
824.0	0.0000
823.0	0.0002
822.0	0.0001
821.0	0.0000
820.0	0.0000
819.0	0.0001
818.0	0.0002
817.0	0.0001
816.0	0.0001
815.0	0.0003
814.0	0.0003
813.0	0.0002
812.0	0.0003
811.0	0.0003
810.0	0.0003
809.0	0.0003
808.0	0.0002
807.0	0.0003
806.0	0.0003
805.0	0.0003
804.0	0.0003
803.0	0.0003
802.0	0.0003
801.0	0.0003
800.0	0.0003
799.0	0.0003
798.0	0.0003
797.0	0.0003
796.0	0.0004
795.0	0.0005
794.0	0.0005
793.0	0.0005
792.0	0.0005
791.0	0.0004
790.0	0.0003
789.0	0.0003
788.0	0.0003
787.0	0.0003
786.0	0.0003
785.0	0.0003
784.0	0.0001
783.0	0.0001
782.0	0.0002
781.0	0.0002
780.0	0.0003
779.0	0.0003
778.0	0.0003
777.0	0.0003
776.0	0.0003
775.0	0.0003
774.0	0.0003
773.0	0.0003
772.0	0.0002
771.0	0.0002
770.0	0.0001
769.0	0.0000
768.0	0.0000
767.0	0.0000
766.0	0.0000
765.0	0.0000
764.0	0.0000
763.0	-0.0001
762.0	-0.0001
761.0	-0.0001
760.0	0.0000
759.0	0.0000
758.0	0.0001
757.0	0.0002
756.0	0.0002
755.0	0.0003
754.0	0.0003
753.0	0.0003
752.0	0.0003
751.0	0.0003
750.0	0.0003
749.0	0.0003
748.0	0.0003
747.0	0.0003
746.0	0.0003
745.0	0.0002
744.0	0.0002
743.0	0.0001
742.0	0.0000
741.0	0.0000
740.0	0.0001
739.0	0.0002
738.0	0.0002
737.0	0.0003
736.0	0.0003
735.0	0.0003
734.0	0.0003
733.0	0.0003
732.0	0.0003
731.0	0.0004
730.0	0.0004
729.0	0.0004
728.0	0.0003
727.0	0.0003
726.0	0.0002
725.0	0.0003
724.0	0.0003
723.0	0.0003
722.0	0.0001
721.0	0.0000
720.0	0.0000
719.0	0.0000
718.0	0.0001
717.0	0.0002
716.0	0.0002
715.0	0.0003
714.0	0.0003
713.0	0.0003
712.0	0.0002
711.0	0.0002
710.0	0.0001
709.0	0.0000
708.0	0.0000
707.0	0.0000
706.0	0.0000
705.0	0.0000
704.0	-0.0002
703.0	-0.0003
702.0	-0.0003
701.0	-0.0003
700.0	-0.0004
699.0	-0.0004
698.0	-0.0005
697.0	-0.0005
696.0	-0.0004
695.0	-0.0004
694.0	-0.0003
693.0	-0.0003
692.0	-0.0003
691.0	-0.0003
690.0	-0.0003
689.0	-0.0003
688.0	-0.0003
687.0	-0.0003
686.0	-0.0003
685.0	-0.0003
684.0	-0.0003
683.0	-0.0003
682.0	-0.0003
681.0	-0.0003
680.0	-0.0003
679.0	-0.0003
678.0	-0.0002
677.0	-0.0001
676.0	-0.0002
675.0	-0.0002
674.0	-0.0001
673.0	-0.0002
672.0	-0.0002
671.0	-0.0001
670.0	-0.0002
669.0	-0.0002
668.0	-0.0001
667.0	-0.0002
666.0	-0.0002
665.0	0.0000
664.0	0.0001
663.0	0.0002
662.0	0.0001
661.0	0.0000
660.0	0.0000
659.0	-0.0001
658.0	0.0000
657.0	0.0000
656.0	0.0000
655.0	-0.0001
654.0	0.0000
653.0	0.0000
652.0	0.0000
651.0	0.0000
650.0	0.0000
649.0	0.0000
648.0	0.0000
647.0	0.0000
646.0	0.0000
645.0	0.0000
644.0	0.0000
643.0	0.0000
642.0	0.0000
641.0	0.0000
640.0	0.0000
639.0	-0.0001
638.0	0.0000
637.0	0.0000
636.0	0.0000
635.0	0.0000
634.0	0.0000
633.0	-0.0001
632.0	0.0000
631.0	0.0000
630.0	0.0000
629.0	0.0000
628.0	0.0000
627.0	0.0000
626.0	-0.0002
625.0	-0.0003
624.0	-0.0003
623.0	-0.0003
622.0	-0.0003
621.0	-0.0003
620.0	-0.0003
619.0	-0.0003
618.0	-0.0003
617.0	-0.0003
616.0	-0.0003
615.0	-0.0003
614.0	-0.0003
613.0	-0.0003
612.0	-0.0003
611.0	-0.0004
610.0	-0.0004
609.0	-0.0005
608.0	-0.0005
607.0	-0.0003
606.0	-0.0003
605.0	-0.0003
604.0	-0.0003
603.0	-0.0003
602.0	0.0002
601.0	0.0012
600.0	0.0017
599.0	0.0017
598.0	0.0018
597.0	0.0019
596.0	0.0019
595.0	0.0019
594.0	0.0018
593.0	0.0017
592.0	0.0018
591.0	0.0018
590.0	0.0017
589.0	0.0018
588.0	0.0019
587.0	0.0018
586.0	0.0018
585.0	0.0020
584.0	0.0020
583.0	0.0020
582.0	0.0020
581.0	0.0021
580.0	0.0024
579.0	0.0026
578.0	0.0029
577.0	0.0032
576.0	0.0035
575.0	0.0037
574.0	0.0041
573.0	0.0047
572.0	0.0053
571.0	0.0062
570.0	0.0073
569.0	0.0083
568.0	0.0097
567.0	0.0115
566.0	0.0136
565.0	0.0161
564.0	0.0190
563.0	0.0224
562.0	0.0263
561.0	0.0310
560.0	0.0364
559.0	0.0424
558.0	0.0493
557.0	0.0572
556.0	0.0663
555.0	0.0764
554.0	0.0876
553.0	0.1002
552.0	0.1145
551.0	0.1299
550.0	0.1464
549.0	0.1638
548.0	0.1818
547.0	0.2000
546.0	0.2182
545.0	0.2365
544.0	0.2545
543.0	0.2715
542.0	0.2874
541.0	0.3016
540.0	0.3142
539.0	0.3246
538.0	0.3327
537.0	0.3382
536.0	0.3414
535.0	0.3424
534.0	0.3407
533.0	0.3369
532.0	0.3307
531.0	0.3223
530.0	0.3124
529.0	0.3009
528.0	0.2885
527.0	0.2755
526.0	0.2621
525.0	0.2483
524.0	0.2345
523.0	0.2211
522.0	0.2080
521.0	0.1952
520.0	0.1832
519.0	0.1722
518.0	0.1621
517.0	0.1531
516.0	0.1449
515.0	0.1377
514.0	0.1312
513.0	0.1255
512.0	0.1206
511.0	0.1167
510.0	0.1135
509.0	0.1109
508.0	0.1090
507.0	0.1075
506.0	0.1065
505.0	0.1057
504.0	0.1050
503.0	0.1042
502.0	0.1034
501.0	0.1025
500.0	0.1012
499.0	0.0995
498.0	0.0976
497.0	0.0954
496.0	0.0929
495.0	0.0898
494.0	0.0864
493.0	0.0827
492.0	0.0787
491.0	0.0747
490.0	0.0706
489.0	0.0666
488.0	0.0624
487.0	0.0582
486.0	0.0545
485.0	0.0510
484.0	0.0477
483.0	0.0444
482.0	0.0413
481.0	0.0387
480.0	0.0361
479.0	0.0340
478.0	0.0320
477.0	0.0302
476.0	0.0286
475.0	0.0272
474.0	0.0261
473.0	0.0250
472.0	0.0237
471.0	0.0225
470.0	0.0217
469.0	0.0209
468.0	0.0201
467.0	0.0194
466.0	0.0185
465.0	0.0176
464.0	0.0167
463.0	0.0159
462.0	0.0150
461.0	0.0143
460.0	0.0137
459.0	0.0129
458.0	0.0122
457.0	0.0114
456.0	0.0106
455.0	0.0100
454.0	0.0093
453.0	0.0088
452.0	0.0082
451.0	0.0077
450.0	0.0070
449.0	0.0066
448.0	0.0063
447.0	0.0060
446.0	0.0056
445.0	0.0053
444.0	0.0050
443.0	0.0049
442.0	0.0047
441.0	0.0045
440.0	0.0043
439.0	0.0041
438.0	0.0038
437.0	0.0037
436.0	0.0036
