Sample:	
Run Date:	11-03-2020 17:25:35
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	249.0	236.0	202.0	2.1994	57.1278

Data Points
nm	Abs
900.0	-0.0007
899.0	-0.0007
898.0	-0.0007
897.0	-0.0007
896.0	-0.0007
895.0	-0.0007
894.0	-0.0007
893.0	-0.0007
892.0	-0.0007
891.0	-0.0009
890.0	-0.0009
889.0	-0.0007
888.0	-0.0007
887.0	-0.0007
886.0	-0.0007
885.0	-0.0007
884.0	-0.0007
883.0	-0.0007
882.0	-0.0007
881.0	-0.0007
880.0	-0.0007
879.0	-0.0007
878.0	-0.0007
877.0	-0.0007
876.0	-0.0007
875.0	-0.0007
874.0	-0.0005
873.0	-0.0004
872.0	-0.0005
871.0	-0.0007
870.0	-0.0005
869.0	-0.0004
868.0	-0.0005
867.0	-0.0007
866.0	-0.0005
865.0	-0.0004
864.0	-0.0005
863.0	-0.0005
862.0	-0.0003
861.0	-0.0003
860.0	-0.0003
859.0	-0.0005
858.0	-0.0007
857.0	-0.0007
856.0	-0.0007
855.0	-0.0007
854.0	-0.0007
853.0	-0.0007
852.0	-0.0007
851.0	-0.0007
850.0	-0.0007
849.0	-0.0007
848.0	-0.0007
847.0	-0.0007
846.0	-0.0005
845.0	-0.0004
844.0	-0.0005
843.0	-0.0007
842.0	-0.0007
841.0	-0.0007
840.0	-0.0007
839.0	-0.0007
838.0	-0.0009
837.0	-0.0010
836.0	-0.0010
835.0	-0.0009
834.0	-0.0007
833.0	-0.0009
832.0	-0.0010
831.0	-0.0010
830.0	-0.0010
829.0	-0.0010
828.0	-0.0010
827.0	-0.0010
826.0	-0.0010
825.0	-0.0010
824.0	-0.0009
823.0	-0.0007
822.0	-0.0007
821.0	-0.0007
820.0	-0.0007
819.0	-0.0007
818.0	-0.0007
817.0	-0.0007
816.0	-0.0007
815.0	-0.0007
814.0	-0.0007
813.0	-0.0007
812.0	-0.0007
811.0	-0.0007
810.0	-0.0007
809.0	-0.0007
808.0	-0.0007
807.0	-0.0007
806.0	-0.0007
805.0	-0.0007
804.0	-0.0007
803.0	-0.0007
802.0	-0.0007
801.0	-0.0007
800.0	-0.0007
799.0	-0.0007
798.0	-0.0007
797.0	-0.0007
796.0	-0.0007
795.0	-0.0007
794.0	-0.0007
793.0	-0.0007
792.0	-0.0007
791.0	-0.0007
790.0	-0.0007
789.0	-0.0007
788.0	-0.0007
787.0	-0.0007
786.0	-0.0007
785.0	-0.0007
784.0	-0.0007
783.0	-0.0007
782.0	-0.0007
781.0	-0.0007
780.0	-0.0007
779.0	-0.0007
778.0	-0.0007
777.0	-0.0007
776.0	-0.0007
775.0	-0.0007
774.0	-0.0007
773.0	-0.0007
772.0	-0.0007
771.0	-0.0007
770.0	-0.0007
769.0	-0.0007
768.0	-0.0007
767.0	-0.0009
766.0	-0.0010
765.0	-0.0010
764.0	-0.0010
763.0	-0.0010
762.0	-0.0010
761.0	-0.0010
760.0	-0.0010
759.0	-0.0010
758.0	-0.0010
757.0	-0.0010
756.0	-0.0009
755.0	-0.0007
754.0	-0.0007
753.0	-0.0009
752.0	-0.0010
751.0	-0.0009
750.0	-0.0007
749.0	-0.0007
748.0	-0.0009
747.0	-0.0010
746.0	-0.0010
745.0	-0.0010
744.0	-0.0010
743.0	-0.0010
742.0	-0.0010
741.0	-0.0010
740.0	-0.0009
739.0	-0.0007
738.0	-0.0007
737.0	-0.0007
736.0	-0.0007
735.0	-0.0007
734.0	-0.0007
733.0	-0.0007
732.0	-0.0007
731.0	-0.0007
730.0	-0.0007
729.0	-0.0007
728.0	-0.0007
727.0	-0.0007
726.0	-0.0007
725.0	-0.0007
724.0	-0.0007
723.0	-0.0007
722.0	-0.0007
721.0	-0.0007
720.0	-0.0007
719.0	-0.0007
718.0	-0.0007
717.0	-0.0007
716.0	-0.0007
715.0	-0.0007
714.0	-0.0007
713.0	-0.0007
712.0	-0.0007
711.0	-0.0007
710.0	-0.0007
709.0	-0.0007
708.0	-0.0007
707.0	-0.0007
706.0	-0.0007
705.0	-0.0007
704.0	-0.0009
703.0	-0.0010
702.0	-0.0010
701.0	-0.0010
700.0	-0.0010
699.0	-0.0010
698.0	-0.0010
697.0	-0.0010
696.0	-0.0010
695.0	-0.0010
694.0	-0.0010
693.0	-0.0010
692.0	-0.0010
691.0	-0.0010
690.0	-0.0010
689.0	-0.0009
688.0	-0.0007
687.0	-0.0009
686.0	-0.0009
685.0	-0.0007
684.0	-0.0009
683.0	-0.0009
682.0	-0.0007
681.0	-0.0009
680.0	-0.0009
679.0	-0.0007
678.0	-0.0007
677.0	-0.0007
676.0	-0.0007
675.0	-0.0007
674.0	-0.0007
673.0	-0.0007
672.0	-0.0007
671.0	-0.0007
670.0	-0.0007
669.0	-0.0007
668.0	-0.0007
667.0	-0.0007
666.0	-0.0007
665.0	-0.0007
664.0	-0.0007
663.0	-0.0007
662.0	-0.0007
661.0	-0.0007
660.0	-0.0007
659.0	-0.0007
658.0	-0.0007
657.0	-0.0007
656.0	-0.0007
655.0	-0.0007
654.0	-0.0007
653.0	-0.0007
652.0	-0.0007
651.0	-0.0007
650.0	-0.0007
649.0	-0.0007
648.0	-0.0007
647.0	-0.0007
646.0	-0.0007
645.0	-0.0007
644.0	-0.0007
643.0	-0.0007
642.0	-0.0007
641.0	-0.0007
640.0	-0.0007
639.0	-0.0007
638.0	-0.0007
637.0	-0.0007
636.0	-0.0007
635.0	-0.0007
634.0	-0.0007
633.0	-0.0005
632.0	-0.0003
631.0	-0.0003
630.0	-0.0005
629.0	-0.0007
628.0	-0.0007
627.0	-0.0007
626.0	-0.0007
625.0	-0.0007
624.0	-0.0005
623.0	-0.0004
622.0	-0.0004
621.0	-0.0003
620.0	-0.0003
619.0	-0.0003
618.0	-0.0003
617.0	-0.0003
616.0	-0.0003
615.0	-0.0003
614.0	-0.0002
613.0	0.0000
612.0	0.0000
611.0	0.0001
610.0	0.0003
609.0	0.0003
608.0	0.0004
607.0	0.0005
606.0	0.0005
605.0	0.0005
604.0	0.0007
603.0	0.0009
602.0	0.0016
601.0	0.0030
600.0	0.0038
599.0	0.0041
598.0	0.0044
597.0	0.0046
596.0	0.0047
595.0	0.0049
594.0	0.0049
593.0	0.0050
592.0	0.0052
591.0	0.0056
590.0	0.0058
589.0	0.0061
588.0	0.0064
587.0	0.0065
586.0	0.0067
585.0	0.0070
584.0	0.0073
583.0	0.0076
582.0	0.0079
581.0	0.0082
580.0	0.0086
579.0	0.0089
578.0	0.0093
577.0	0.0097
576.0	0.0102
575.0	0.0105
574.0	0.0109
573.0	0.0112
572.0	0.0117
571.0	0.0122
570.0	0.0127
569.0	0.0131
568.0	0.0135
567.0	0.0139
566.0	0.0143
565.0	0.0150
564.0	0.0156
563.0	0.0162
562.0	0.0167
561.0	0.0174
560.0	0.0179
559.0	0.0183
558.0	0.0189
557.0	0.0194
556.0	0.0200
555.0	0.0205
554.0	0.0212
553.0	0.0217
552.0	0.0223
551.0	0.0229
550.0	0.0234
549.0	0.0241
548.0	0.0247
547.0	0.0252
546.0	0.0258
545.0	0.0263
544.0	0.0269
543.0	0.0276
542.0	0.0281
541.0	0.0285
540.0	0.0290
539.0	0.0296
538.0	0.0303
537.0	0.0309
536.0	0.0313
535.0	0.0319
534.0	0.0324
533.0	0.0329
532.0	0.0334
531.0	0.0339
530.0	0.0344
529.0	0.0348
528.0	0.0355
527.0	0.0361
526.0	0.0367
525.0	0.0372
524.0	0.0376
523.0	0.0382
522.0	0.0388
521.0	0.0394
520.0	0.0397
519.0	0.0402
518.0	0.0408
517.0	0.0412
516.0	0.0418
515.0	0.0424
514.0	0.0430
513.0	0.0436
512.0	0.0440
511.0	0.0445
510.0	0.0451
509.0	0.0456
508.0	0.0460
507.0	0.0466
506.0	0.0470
505.0	0.0474
504.0	0.0478
503.0	0.0482
502.0	0.0484
501.0	0.0488
500.0	0.0491
499.0	0.0493
498.0	0.0496
497.0	0.0496
496.0	0.0496
495.0	0.0496
494.0	0.0496
493.0	0.0496
492.0	0.0496
491.0	0.0496
490.0	0.0496
489.0	0.0493
488.0	0.0490
487.0	0.0487
486.0	0.0483
485.0	0.0478
484.0	0.0472
483.0	0.0466
