Sample:	
Run Date:	11-03-2020 14:41:53
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	800.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	300.0	233.0	219.0	2.2967	31.1636

Data Points
nm	Abs
800.0	0.0003
799.0	0.0004
798.0	0.0005
797.0	0.0005
796.0	0.0005
795.0	0.0005
794.0	0.0005
793.0	0.0005
792.0	0.0004
791.0	0.0005
790.0	0.0005
789.0	0.0005
788.0	0.0005
787.0	0.0005
786.0	0.0005
785.0	0.0005
784.0	0.0005
783.0	0.0005
782.0	0.0005
781.0	0.0005
780.0	0.0005
779.0	0.0005
778.0	0.0005
777.0	0.0005
776.0	0.0005
775.0	0.0005
774.0	0.0005
773.0	0.0005
772.0	0.0005
771.0	0.0005
770.0	0.0005
769.0	0.0005
768.0	0.0005
767.0	0.0005
766.0	0.0005
765.0	0.0005
764.0	0.0005
763.0	0.0005
762.0	0.0005
761.0	0.0005
760.0	0.0007
759.0	0.0007
758.0	0.0007
757.0	0.0007
756.0	0.0007
755.0	0.0009
754.0	0.0009
753.0	0.0009
752.0	0.0009
751.0	0.0007
750.0	0.0005
749.0	0.0005
748.0	0.0005
747.0	0.0005
746.0	0.0005
745.0	0.0005
744.0	0.0005
743.0	0.0005
742.0	0.0005
741.0	0.0005
740.0	0.0005
739.0	0.0007
738.0	0.0009
737.0	0.0009
736.0	0.0009
735.0	0.0009
734.0	0.0010
733.0	0.0010
732.0	0.0010
731.0	0.0009
730.0	0.0009
729.0	0.0009
728.0	0.0009
727.0	0.0009
726.0	0.0009
725.0	0.0009
724.0	0.0009
723.0	0.0009
722.0	0.0009
721.0	0.0007
720.0	0.0007
719.0	0.0007
718.0	0.0009
717.0	0.0009
716.0	0.0009
715.0	0.0007
714.0	0.0007
713.0	0.0007
712.0	0.0007
711.0	0.0007
710.0	0.0009
709.0	0.0009
708.0	0.0007
707.0	0.0007
706.0	0.0009
705.0	0.0009
704.0	0.0007
703.0	0.0007
702.0	0.0007
701.0	0.0005
700.0	0.0005
699.0	0.0005
698.0	0.0005
697.0	0.0005
696.0	0.0005
695.0	0.0005
694.0	0.0005
693.0	0.0005
692.0	0.0005
691.0	0.0005
690.0	0.0005
689.0	0.0005
688.0	0.0005
687.0	0.0005
686.0	0.0005
685.0	0.0005
684.0	0.0005
683.0	0.0005
682.0	0.0005
681.0	0.0005
680.0	0.0005
679.0	0.0005
678.0	0.0004
677.0	0.0005
676.0	0.0005
675.0	0.0004
674.0	0.0005
673.0	0.0005
672.0	0.0004
671.0	0.0004
670.0	0.0005
669.0	0.0005
668.0	0.0004
667.0	0.0005
666.0	0.0005
665.0	0.0004
664.0	0.0003
663.0	0.0003
662.0	0.0003
661.0	0.0003
660.0	0.0003
659.0	0.0003
658.0	0.0003
657.0	0.0003
656.0	0.0003
655.0	0.0003
654.0	0.0003
653.0	0.0003
652.0	0.0003
651.0	0.0003
650.0	0.0002
649.0	0.0003
648.0	0.0003
647.0	0.0003
646.0	0.0003
645.0	0.0003
644.0	0.0003
643.0	0.0003
642.0	0.0003
641.0	0.0003
640.0	0.0002
639.0	0.0003
638.0	0.0003
637.0	0.0003
636.0	0.0003
635.0	0.0001
634.0	0.0001
633.0	0.0003
632.0	0.0003
631.0	0.0003
630.0	0.0003
629.0	0.0001
628.0	0.0001
627.0	0.0003
626.0	0.0003
625.0	0.0003
624.0	0.0003
623.0	0.0003
622.0	0.0004
621.0	0.0004
620.0	0.0004
619.0	0.0003
618.0	0.0004
617.0	0.0005
616.0	0.0005
615.0	0.0004
614.0	0.0003
613.0	0.0003
612.0	0.0003
611.0	0.0003
610.0	0.0003
609.0	0.0003
608.0	0.0003
607.0	0.0003
606.0	0.0003
605.0	0.0003
604.0	0.0003
603.0	0.0004
602.0	0.0003
601.0	0.0000
600.0	-0.0001
599.0	-0.0002
598.0	-0.0003
597.0	-0.0003
596.0	-0.0003
595.0	-0.0003
594.0	-0.0003
593.0	-0.0003
592.0	-0.0003
591.0	-0.0003
590.0	-0.0004
589.0	-0.0004
