Sample:	
Run Date:	11-03-2020 14:09:13
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	303.0	233.0	220.0	2.2793	28.6214

Data Points
nm	Abs
900.0	0.0026
899.0	0.0026
898.0	0.0026
897.0	0.0027
896.0	0.0029
895.0	0.0031
894.0	0.0030
893.0	0.0029
892.0	0.0029
891.0	0.0029
890.0	0.0029
889.0	0.0027
888.0	0.0026
887.0	0.0026
886.0	0.0024
885.0	0.0026
884.0	0.0026
883.0	0.0024
882.0	0.0026
881.0	0.0026
880.0	0.0024
879.0	0.0024
878.0	0.0024
877.0	0.0024
876.0	0.0026
875.0	0.0027
874.0	0.0027
873.0	0.0027
872.0	0.0027
871.0	0.0029
870.0	0.0029
869.0	0.0029
868.0	0.0029
867.0	0.0030
866.0	0.0031
865.0	0.0030
864.0	0.0029
863.0	0.0029
862.0	0.0029
861.0	0.0029
860.0	0.0030
859.0	0.0031
858.0	0.0030
857.0	0.0029
856.0	0.0029
855.0	0.0029
854.0	0.0029
853.0	0.0029
852.0	0.0030
851.0	0.0032
850.0	0.0032
849.0	0.0032
848.0	0.0031
847.0	0.0032
846.0	0.0032
845.0	0.0032
844.0	0.0032
843.0	0.0032
842.0	0.0032
841.0	0.0032
840.0	0.0033
839.0	0.0034
838.0	0.0033
837.0	0.0032
836.0	0.0033
835.0	0.0035
834.0	0.0035
833.0	0.0035
832.0	0.0035
831.0	0.0035
830.0	0.0035
829.0	0.0035
828.0	0.0035
827.0	0.0035
826.0	0.0035
825.0	0.0035
824.0	0.0035
823.0	0.0035
822.0	0.0035
821.0	0.0035
820.0	0.0035
819.0	0.0035
818.0	0.0035
817.0	0.0035
816.0	0.0035
815.0	0.0035
814.0	0.0035
813.0	0.0035
812.0	0.0035
811.0	0.0035
810.0	0.0035
809.0	0.0036
808.0	0.0037
807.0	0.0037
806.0	0.0038
805.0	0.0041
804.0	0.0041
803.0	0.0038
802.0	0.0038
801.0	0.0041
800.0	0.0041
799.0	0.0041
798.0	0.0041
797.0	0.0041
796.0	0.0044
795.0	0.0044
794.0	0.0044
793.0	0.0044
792.0	0.0045
791.0	0.0046
790.0	0.0046
789.0	0.0045
788.0	0.0044
787.0	0.0045
786.0	0.0046
785.0	0.0046
784.0	0.0046
783.0	0.0047
782.0	0.0049
781.0	0.0049
780.0	0.0049
779.0	0.0049
778.0	0.0049
777.0	0.0049
776.0	0.0049
775.0	0.0049
774.0	0.0049
773.0	0.0049
772.0	0.0050
771.0	0.0052
770.0	0.0056
769.0	0.0056
768.0	0.0056
767.0	0.0056
766.0	0.0056
765.0	0.0056
764.0	0.0056
763.0	0.0059
762.0	0.0061
761.0	0.0061
760.0	0.0062
759.0	0.0064
758.0	0.0064
757.0	0.0064
756.0	0.0065
755.0	0.0067
754.0	0.0070
753.0	0.0070
752.0	0.0070
751.0	0.0073
750.0	0.0073
749.0	0.0073
748.0	0.0074
747.0	0.0076
746.0	0.0078
745.0	0.0079
744.0	0.0082
743.0	0.0083
742.0	0.0083
741.0	0.0088
740.0	0.0092
739.0	0.0095
738.0	0.0099
737.0	0.0102
736.0	0.0105
735.0	0.0107
734.0	0.0110
733.0	0.0114
732.0	0.0117
731.0	0.0120
730.0	0.0122
729.0	0.0127
728.0	0.0131
727.0	0.0135
726.0	0.0138
725.0	0.0142
724.0	0.0147
723.0	0.0151
722.0	0.0156
721.0	0.0162
720.0	0.0166
719.0	0.0172
718.0	0.0179
717.0	0.0185
716.0	0.0191
715.0	0.0196
714.0	0.0203
713.0	0.0210
712.0	0.0217
711.0	0.0224
710.0	0.0232
709.0	0.0237
708.0	0.0244
707.0	0.0252
706.0	0.0261
705.0	0.0267
704.0	0.0273
703.0	0.0281
702.0	0.0287
701.0	0.0294
700.0	0.0302
699.0	0.0309
698.0	0.0317
697.0	0.0324
696.0	0.0332
695.0	0.0339
694.0	0.0347
693.0	0.0353
692.0	0.0361
691.0	0.0367
690.0	0.0372
689.0	0.0379
688.0	0.0384
687.0	0.0390
686.0	0.0396
685.0	0.0402
684.0	0.0408
683.0	0.0411
682.0	0.0416
681.0	0.0422
680.0	0.0426
679.0	0.0429
678.0	0.0432
677.0	0.0437
676.0	0.0440
675.0	0.0444
674.0	0.0448
673.0	0.0452
672.0	0.0453
671.0	0.0456
670.0	0.0460
669.0	0.0464
668.0	0.0465
667.0	0.0466
666.0	0.0466
665.0	0.0468
664.0	0.0470
663.0	0.0471
662.0	0.0472
661.0	0.0472
660.0	0.0472
659.0	0.0474
658.0	0.0476
657.0	0.0476
656.0	0.0476
655.0	0.0474
654.0	0.0476
653.0	0.0476
652.0	0.0474
651.0	0.0472
650.0	0.0471
649.0	0.0471
648.0	0.0470
647.0	0.0468
646.0	0.0466
645.0	0.0466
644.0	0.0466
643.0	0.0465
642.0	0.0461
641.0	0.0459
640.0	0.0458
639.0	0.0456
638.0	0.0453
637.0	0.0452
636.0	0.0450
635.0	0.0446
634.0	0.0444
633.0	0.0442
632.0	0.0439
631.0	0.0436
630.0	0.0432
629.0	0.0429
628.0	0.0426
627.0	0.0424
626.0	0.0419
625.0	0.0415
624.0	0.0411
623.0	0.0408
622.0	0.0403
621.0	0.0400
620.0	0.0397
619.0	0.0394
618.0	0.0388
617.0	0.0383
616.0	0.0379
615.0	0.0373
614.0	0.0368
613.0	0.0364
612.0	0.0358
611.0	0.0352
610.0	0.0347
609.0	0.0342
608.0	0.0336
607.0	0.0329
606.0	0.0324
605.0	0.0319
604.0	0.0314
603.0	0.0309
602.0	0.0306
601.0	0.0306
600.0	0.0304
599.0	0.0300
598.0	0.0294
597.0	0.0290
596.0	0.0285
595.0	0.0281
594.0	0.0277
593.0	0.0272
592.0	0.0267
591.0	0.0261
590.0	0.0255
589.0	0.0252
588.0	0.0248
587.0	0.0243
586.0	0.0239
585.0	0.0234
584.0	0.0229
583.0	0.0225
582.0	0.0222
581.0	0.0219
580.0	0.0214
579.0	0.0212
578.0	0.0209
577.0	0.0204
576.0	0.0200
575.0	0.0195
574.0	0.0192
573.0	0.0189
572.0	0.0185
571.0	0.0182
570.0	0.0179
569.0	0.0175
568.0	0.0173
567.0	0.0171
566.0	0.0167
565.0	0.0164
564.0	0.0162
563.0	0.0159
562.0	0.0156
561.0	0.0152
560.0	0.0150
559.0	0.0149
558.0	0.0147
557.0	0.0143
556.0	0.0141
555.0	0.0139
554.0	0.0138
553.0	0.0137
552.0	0.0137
551.0	0.0135
550.0	0.0131
549.0	0.0129
548.0	0.0128
547.0	0.0127
546.0	0.0126
545.0	0.0126
544.0	0.0124
543.0	0.0122
542.0	0.0122
541.0	0.0122
540.0	0.0120
539.0	0.0119
538.0	0.0119
537.0	0.0118
536.0	0.0117
535.0	0.0117
534.0	0.0116
