Sample:	
Run Date:	11-03-2020 16:52:36
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	900.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
1	299.0	236.0	217.0	2.5800	51.5765

Data Points
nm	Abs
900.0	0.0020
899.0	0.0066
898.0	0.0128
897.0	0.0181
896.0	0.0220
895.0	0.0254
894.0	0.0295
893.0	0.0340
892.0	0.0374
891.0	0.0382
890.0	0.0365
889.0	0.0335
888.0	0.0304
887.0	0.0277
886.0	0.0255
885.0	0.0240
884.0	0.0229
883.0	0.0217
882.0	0.0206
881.0	0.0195
880.0	0.0185
879.0	0.0175
878.0	0.0169
877.0	0.0166
876.0	0.0164
875.0	0.0166
874.0	0.0169
873.0	0.0173
872.0	0.0176
871.0	0.0180
870.0	0.0182
869.0	0.0182
868.0	0.0183
867.0	0.0185
866.0	0.0189
865.0	0.0192
864.0	0.0194
863.0	0.0195
862.0	0.0195
861.0	0.0195
860.0	0.0194
859.0	0.0194
858.0	0.0194
857.0	0.0192
856.0	0.0191
855.0	0.0191
854.0	0.0191
853.0	0.0191
852.0	0.0189
851.0	0.0186
850.0	0.0185
849.0	0.0185
848.0	0.0185
847.0	0.0184
846.0	0.0185
845.0	0.0185
844.0	0.0185
843.0	0.0185
842.0	0.0185
841.0	0.0185
840.0	0.0185
839.0	0.0184
838.0	0.0184
837.0	0.0183
836.0	0.0182
835.0	0.0182
834.0	0.0182
833.0	0.0181
832.0	0.0180
